ID;Label;KeywordsB2018;KeywordsA2018
Otero, D.F.;Otero, D.F.;;Stochastic dynamic programming,Airline promotion,Revenue management,Dilution
Escallón, M.;Escallón, M.;;Stochastic dynamic programming,Airline promotion,Revenue management,Dilution
López, C.;López, C.;;Stochastic dynamic programming,Airline promotion,Revenue management,Dilution
Akhavan-Tabatabaei, R.;Akhavan-Tabatabaei, R.;Operations research,Markov chains,Markov decision processes,Quasi-birth-and-death processes,Phase-type distributions,Stochastic modeling,Disaster operations management;Stochastic dynamic programming,Airline promotion,Revenue management,Dilution
Siqueira, J.R.;Siqueira, J.R.;;Retail,e-WOM,Electronic word-of-mouth,Bayesian modeling,word-of-mouth,Customer experience,Social media
Peña, N.G.;Peña, N.G.;;Retail,e-WOM,Electronic word-of-mouth,Bayesian modeling,word-of-mouth,Customer experience,Social media
ter Horst, E.;ter Horst, E.;;Retail,e-WOM,Electronic word-of-mouth,Bayesian modeling,word-of-mouth,Customer experience,Social media
Molina, G.;Molina, G.;;Retail,e-WOM,Electronic word-of-mouth,Bayesian modeling,word-of-mouth,Customer experience,Social media
Mazuera-Rozo, A.;Mazuera-Rozo, A.;;Operating system,Secure IoT,Smart Homes,Android,Access Control,Vulnerabilities,Empirical study
Bautista-Mora, J.;Bautista-Mora, J.;;Operating system,Android,Vulnerabilities,Empirical study
Linares-Vásquez, M.;Linares-Vásquez, M.;Database-centric applications,Mutation testing,Optimizations,Documentation,SQL-data statements,Android,Schema constraints,Empirical studies,Operators,Fault taxonomy,Mining software repositories,Measurement;Operating system,Mutation testing,Mining app stores,mobile,code,quality warning prediction,program comprehension,User reviews,JavaScript,maintaining software,Node.js,Operators,textual analysis,natural language,Empirical study,code readability,Android,Mobile app evolution,unit test cases,Vulnerabilities
Rueda, S.;Rueda, S.;IoT,Intimacy;Configuration management system,Operating system,Secure IoT,IT risk evaluation,Smart Homes,Android,Configuration item,Access Control,Vulnerabilities,Empirical study,Service security
Bavota, G.;Bavota, G.;Operating System,Software metrics,Empirical Studies,Code understandability,Mutation testing,Taxonomy,Android,Negative result,Operators,Classifiers,Fault taxonomy,Software Licenses,Vulnerabilities,Empirical study;Operating system,Mining app stores,Computer bugs,User reviews,Empirical Study,Negative result,Software measurement,Empirical study,Software metrics,Code understandability,Software,Documentation,API Compatibility Issues,Android,Readability metrics,Indexes,Mobile app evolution,Complexity theory,Vulnerabilities
Lara, P.;Lara, P.;Modeling language,Operational Technology,Archimate;Enterprise modeling,Operational technologies,ArchiMate
Sánchez, M.;Sánchez, M.;Project based learning,Archimate,Automated analysis,Tool evaluation,Composition,IT architecture,Reality simulated cases,Domain specific modeling languages,Behavioral view,Enterprise analysis,Structural view,Business models,Architecture deliverable,Enterprise models,Operational Technology,Enterprise Architecture analysis,simulation,Visualization,Business model pattern,Modeling language,executable model,Models imprecision,Analysis,ArchiMate,Analysis chains,Enterprise architecture,Enterprise modeling,Business model,Analysis tools;Project based learning,ArchiMate,Dynamic analysis,Model driven architecture,Virtual enterprises,Operational technologies,IT architecture,Enterprise modeling,Business model
Villalobos, J.;Villalobos, J.;Project based learning,Archimate,Automated analysis,Tool evaluation,Composition,Constructors,IT architecture,semantics,Reality simulated cases,Domain specific modeling languages,Behavioral view,Enterprise analysis,Structural view,model theory,Architecture deliverable,Model analysis,Model,System Dynamics,Simulation,Enterprise models,Business models,Operational Technology,Enterprise Architecture analysis,Patterns,System dynamics,Canvas,simulation,Visualization,Business model pattern,Modeling language,executable model,ontology,Models imprecision,Flow,Visual analysis,Analysis,enterprise modeling,ArchiMate,Analysis chains,Enterprise architecture,Enterprise modeling,nuance,Execution,Business model,Analysis tools;Project based learning,ArchiMate,Dynamic analysis,Model driven architecture,Virtual enterprises,Operational technologies,IT architecture,Enterprise modeling,Business model
Acosta, J.P.;Acosta, J.P.;;gene expression data,multivariate data analysis,differential expression
Restrepo, S.;Restrepo, S.;;gene expression data,multivariate data analysis,differential expression
Henao, J.D.;Henao, J.D.;;gene expression data,multivariate data analysis,differential expression
López-Kleine, L.;López-Kleine, L.;;gene expression data,multivariate data analysis,differential expression
De La Hoz, H.D.F.;De La Hoz, H.D.F.;;Distributed systems,Consistency,Dependency relations
Sosa, J.S.;Sosa, J.S.;;Distributed systems,Consistency,Dependency relations
Cardozo, N.;Cardozo, N.;Recovery,W-learning,Microservices,Dynamically adaptive systems,Context interaction problem,Emergent services,Software architecture,Conflict resolution,Dynamic service composition,Consistency,Role,Implementation framework,Unanticipated adaptation,Con.ict resolution techniques,Dynamically adaptive so.ware systems,Context-oriented programming,Rollback,Roles;Feature modeling,Software variability,Multi product lines,Version control,Selection and scoping,Dynamic,Distributed systems,Cross-model constraints,Consistency,Configuration management,Context-oriented programming,Dynamic fusion,Generators,Context testing and simulation,Variability modeling,Dependency relations,Dynamic adaptation,Collaborative development,Context query language,Precedence relation discovery,Constraint programming,Concept prerequisite learning
Abolghasem, S.;Abolghasem, S.;;robust optimization,data envelopment analysis (DEA),location problems,community programs,physical activity,Chip formation model,Temperature measurements,Orthogonal machining process,Johnson-Cook material constants,decision support systems
Solano, F.;Solano, F.;ICT for rural development,MWSN,Disruption-tolerant,Availability probability,Delay-tolerant,Rural telecommunications,Position estimator,Opportunistic forwarding,Double Kalman filter;robust optimization,data envelopment analysis (DEA),location problems,community programs,physical activity,decision support systems
Bedoya, C.D.;Bedoya, C.D.;;robust optimization,data envelopment analysis (DEA),location problems,community programs,physical activity,decision support systems
Medaglia, A.L.;Medaglia, A.L.;;robust optimization,data envelopment analysis (DEA),location problems,Dynamic vehicle routing,community programs,Parallel adaptive large neighborhood search,physical activity,Technician routing and scheduling,decision support systems
Sarmiento, O.L.;Sarmiento, O.L.;Behaviour science,Mathematical modelling,System dynamics,Obesity,Public health,Nutritional stages;robust optimization,data envelopment analysis (DEA),location problems,community programs,physical activity,decision support systems
Fonseca, D.;Fonseca, D.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Land cover classification,Cobalt(II) complexes,Random forests,CDCol,Machin learning,Antifungal activity,Dimorphic switch,Open data cube
Leal-Pinto, S.M.;Leal-Pinto, S.M.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Roa-Cordero, M.V.;Roa-Cordero, M.V.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Muñoz-Castro, Á.;Muñoz-Castro, Á.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Hurtado, J.J.;Hurtado, J.J.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Castillo, D.;Castillo, D.;;Energy harvesting,DC-DC converter,Perovskite solar cell,MPPT
Hidalgo, J.;Hidalgo, J.;;Energy harvesting,DC-DC converter,Perovskite solar cell,MPPT
Africano, Y.;Africano, Y.;;Energy harvesting,DC-DC converter,Perovskite solar cell,MPPT
Cortes, M.T.;Cortes, M.T.;;Energy harvesting,DC-DC converter,Perovskite solar cell,MPPT
Bressan, M.;Bressan, M.;;Energy harvesting,FPGA,MPPT,SysML,DC-DC converter,Real-time emulation,Petri net,Perovskite solar cell
Cano M.;Cano M.;;Cybersecurity,Cybersecurity audit models,Cybersecurity assurance,Cybersecurity controls,Cybersecurity audits
J.J.;J.J.;;Cybersecurity,Cybersecurity audit models,Cybersecurity assurance,Cybersecurity controls,Cybersecurity audits
Rocha, A.;Rocha, A.;;
Sabillón, R.;Sabillón, R.;;Cybersecurity,Cybersecurity audit models,Cybersecurity assurance,Cybersecurity controls,Cybersecurity audits
Tajeddine, R.;Tajeddine, R.;;servers,Privacy,Byzantine,information retrieval,robustness,Reed-Solomon codes,reliability
Gnilke, O.W.;Gnilke, O.W.;;Private information retrieval,servers,transitive codes,Privacy,Byzantine,information retrieval,Reed-Muller codes,robustness,Reed-Solomon codes,reliability
Karpuk, D.;Karpuk, D.;;Private information retrieval,servers,transitive codes,Privacy,Byzantine,information retrieval,Reed-Muller codes,robustness,Reed-Solomon codes,reliability
Freij-Hollanti, R.;Freij-Hollanti, R.;;Private information retrieval,servers,transitive codes,Privacy,Byzantine,information retrieval,Reed-Muller codes,robustness,Reed-Solomon codes,reliability
Hollanti, C.;Hollanti, C.;;Private information retrieval,servers,transitive codes,Privacy,Byzantine,information retrieval,Reed-Muller codes,robustness,Reed-Solomon codes,reliability
Herrera-Quintero, L.F.;Herrera-Quintero, L.F.;IoT,Instant Messaging,SOA,BigData,Intelligent Transportation System,Traffic sensor,NoSQL,Highways monitoring,Web Services,Internet of things,Smartcity;Smart Cities,ITS,5G,Smart Agriculture,E-Agriculture,Disruptive Technologies,Water Monitoring,Agriculture,Internet of things
Chavarriaga, J.;Chavarriaga, J.;Electrical transformers,Quality attributes,Software development process,Feature Models,Feature-Solution Graphs,Feature Model,Model Composition,Product configuration,Business Process Modeling,Software Product Lines,Automated Processing,Variability models;Smart Cities,empirical evaluation,Fault tolerance,Smart Agriculture,Intelligent Transportation Systems,Disruptive Technologies,Desktop clouds,Configuration systems,Cloud provisioning,product line adoption,Global snapshot,ITS,Virtual machine images,lifetime optimization,coal mine,Agriculture,Internet of things,ITS planning,Software product lines,energy consumption,sensor node,5G,Checkpointing,Feature models,Multi-user configuration,E-Agriculture,node placement,BitTorrent,Reliability,quasi-experiment with practitioners,Dependability,ITS architecture,Fault analysis,Water Monitoring,Wireless sensor network,Virtualbox snapshot
Banse, K.;Banse, K.;IoT,Instant Messaging,SOA,BigData,Intelligent Transportation System,Traffic sensor,NoSQL,Highways monitoring,Web Services,Internet of things,Smartcity;Smart Cities,ITS,5G,Intelligent Transportation Systems,ITS architecture,Disruptive Technologies,ITS planning
Bermudez, D.;Bermudez, D.;;Smart Cities,ITS,5G,Intelligent Transportation Systems,ITS architecture,Disruptive Technologies,ITS planning
