Universidad;Nodos;Edges;Top;
Universidad de Chile;1877;4801;1;0,905
USP;1589;3813;2;0,819
Unicamp;969;2338;3;
TecMonterrey;898;2249;4;
UNAM;580;1477;5;
PUCC;558;1417;6;
Udelar;577;1399;7;
ESPOL;448;1156;8;
Universidad de Los Andes;397;965;9;
PUCP;295;695;10;
Universidad Nacional de la Asuncion;187;462;11;
Universidad de Antioquia;146;417;12;
USB;60;153;13;
USFQ;64;123;14;
UPCH;27;73;15;
UCNSA;29;65;16;
UBA;19;42;17;
Universidad Torcuato Di Tella;15;33;18;
UM;12;28;19;
UPB;11;27;20;
UCV;12;20;21;
UMSA;5;10;22;
