Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9498905375820968;0.9053758209681344;0.8271186440677966;0.75;0.6115288220551378;0.03759398496240601;0.7988947989586034;0.5181235011018926
PUCC;0.9668262089453704;0.9577488034329096;0.7004830917874396;0.8684210526315791;0.5105633802816901;0.11619718309859155;0.7499137247728797;0.5576656911163953
PUCP;0.9361459521094642;0.9179019384264538;0.711340206185567;0.8;0.4509803921568628;0.0784313725490196;0.7167456614125974;0.5382787718460276
TecMonterrey;0.9762452107279692;0.9614303959131544;0.8284313725490197;0.8913043478260869;0.528125;0.0640625;0.7617322736351532;0.5318648052596537
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;0.7777777777777778;0.6666666666666666;0.6;0.0;1.0;0.0;0.8333333333333334;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.965019011406844;0.951787072243346;0.7668393782383419;0.8636363636363636;0.4444444444444444;0.05705705705705705;0.7186176083164229;0.5282882209348085
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.8518518518518519;0.7654320987654321;0.9;0.6666666666666666;0.45;0.1;0.7168032786885246;0.5418032786885246
USFQ;0.8131868131868132;0.7802197802197802;1.0;0.0;0.15;0.0;0.575;0.5
USP;0.9821137548891786;0.9626385267275098;0.8606102635228848;0.946808510638298;0.6470281543274244;0.04640250260688217;0.8213834856860781;0.5231482515154402
Udelar;0.9685466377440348;0.9587852494577006;0.7052023121387283;0.8333333333333334;0.4452554744525548;0.0364963503649635;0.7185015236340444;0.5180863628847471
Unicamp;0.9722252068335662;0.9432147845707533;0.8327759197324415;0.9830508474576272;0.670556552962298;0.05206463195691203;0.8309925621954348;0.5260037445498845
Universidad Nacional de la Asuncion;0.9142480211081794;0.8456464379947229;0.9264705882352942;0.875;0.5121951219512195;0.05691056910569105;0.7521605531015941;0.5276678829780423
Universidad Torcuato Di Tella;0.8947368421052632;0.9473684210526316;0.0;0.0;0.0;0.0;0.4722222222222222;0.5
Universidad de Antioquia;0.8372591006423983;0.8244111349036403;0.6551724137931034;0.8;0.2235294117647059;0.047058823529411764;0.5986757006467509;0.5222205112411458
Universidad de Chile;0.9870600026927162;0.986267147366374;0.5701219512195121;0.8014184397163121;0.559322033898305;0.11266201395812565;0.7764488791689447;0.5561183832016495
Universidad de Los Andes;0.9536360749444268;0.9301365512861226;0.7757575757575758;0.8148148148148148;0.540084388185654;0.09282700421940927;0.7636891721148051;0.5455549856261881
