Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9379712965215276;0.9126733154950134;0.6714285714285714;0.8333333333333334;0.7067669172932329;0.12531328320802004;0.8347950965776509;0.5613096588453893
PUCC;0.9574187159597294;0.9660009902624196;0.5361111111111111;0.875;0.6795774647887324;0.3204225352112676;0.8253298579354919;0.6590857264800927
PUCP;0.9310148232611174;0.9236031927023944;0.625;0.88;0.5228758169934641;0.1437908496732026;0.7464472776410169;0.5709585104081191
TecMonterrey;0.9724137931034482;0.9655810983397192;0.6793103448275862;0.904;0.615625;0.1765625;0.8016207556591213;0.5878817826231689
UCNSA;0.9130434782608696;0.9130434782608696;1.0;1.0;0.8;0.8;0.9;0.9
UCV;0.7222222222222222;0.6666666666666666;0.5454545454545454;0.0;1.0;0.0;0.7916666666666666;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9624334600760456;0.95574144486692;0.6628787878787878;0.8888888888888888;0.5255255255255256;0.14414414414414414;0.7556336374824041;0.5715914568846322
UPB;0.4615384615384616;0.4615384615384616;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.4404761904761905;0.4404761904761905
UPCH;0.8118811881188119;0.6930693069306929;0.9285714285714286;0.5;0.41935483870967744;0.03225806451612903;0.7025345622119816;0.5089861751152074
USB;0.8518518518518519;0.7777777777777778;0.75;0.6;0.6;0.3;0.7672131147540984;0.6172131147540983
USFQ;0.8021978021978022;0.8241758241758241;0.6;1.0;0.3;0.2;0.6218309859154929;0.6
USP;0.9821137548891786;0.9667535853976532;0.8606102635228848;0.9612903225806452;0.6470281543274244;0.1553701772679875;0.8213834856860781;0.5775578891427917
Udelar;0.9612643321970872;0.9642082429501084;0.5342857142857143;0.9215686274509804;0.6824817518248175;0.17153284671532848;0.8280531736470366;0.5854427987621951
Unicamp;0.9722252068335662;0.9486945309981736;0.8327759197324415;0.9818181818181818;0.670556552962298;0.14542190305206462;0.8309925621954348;0.572625237240318
Universidad Nacional de la Asuncion;0.8970976253298153;0.8588390501319261;0.7142857142857143;0.9444444444444444;0.6097560975609756;0.13821138211382114;0.7812560015363933;0.5683182894821074
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.8308351177730193;0.8501070663811563;0.575;0.8260869565217391;0.27058823529411763;0.2235294117647059;0.6130428087465352;0.6065291037881121
Universidad de Chile;0.9796251140664504;0.9885260370697264;0.3910139647844566;0.8511904761904762;0.6420737786640079;0.2851445663010967;0.8134204018768069;0.6421925978337389
Universidad de Los Andes;0.9345824071133694;0.9368053350269928;0.5576208178438662;0.8518518518518519;0.6329113924050633;0.1940928270042194;0.7960230038948394;0.5956727871284834
