Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9498905375820968;0.8271186440677966;0.6115288220551378;0.7988947989586034
PUCC;0.9668262089453704;0.7004830917874396;0.5105633802816901;0.7499137247728797
PUCP;0.9361459521094642;0.711340206185567;0.4509803921568628;0.7167456614125974
TecMonterrey;0.9762452107279692;0.8284313725490197;0.528125;0.7617322736351532
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.7777777777777778;0.6;1.0;0.8333333333333334
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.965019011406844;0.7668393782383419;0.4444444444444444;0.7186176083164229
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.8518518518518519;0.9;0.45;0.7168032786885246
USFQ;0.8131868131868132;1.0;0.15;0.575
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.9685466377440348;0.7052023121387283;0.4452554744525548;0.7185015236340444
Unicamp;0.9722252068335662;0.8327759197324415;0.670556552962298;0.8309925621954348
Universidad Nacional de la Asuncion;0.9142480211081794;0.9264705882352942;0.5121951219512195;0.7521605531015941
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.8372591006423983;0.6551724137931034;0.2235294117647059;0.5986757006467509
Universidad de Chile;0.9870600026927162;0.5701219512195121;0.559322033898305;0.7764488791689447
Universidad de Los Andes;0.9536360749444268;0.7757575757575758;0.540084388185654;0.7636891721148051
