Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9379712965215276;0.6714285714285714;0.7067669172932329;0.8347950965776509
PUCC;0.9574187159597294;0.5361111111111111;0.6795774647887324;0.8253298579354919
PUCP;0.9310148232611174;0.625;0.5228758169934641;0.7464472776410169
TecMonterrey;0.9724137931034482;0.6793103448275862;0.615625;0.8016207556591213
UCNSA;0.9130434782608696;1.0;0.8;0.9
UCV;0.7222222222222222;0.5454545454545454;1.0;0.7916666666666666
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9624334600760456;0.6628787878787878;0.5255255255255256;0.7556336374824041
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.8118811881188119;0.9285714285714286;0.41935483870967744;0.7025345622119816
USB;0.8518518518518519;0.75;0.6;0.7672131147540984
USFQ;0.8021978021978022;0.6;0.3;0.6218309859154929
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.9612643321970872;0.5342857142857143;0.6824817518248175;0.8280531736470366
Unicamp;0.9722252068335662;0.8327759197324415;0.670556552962298;0.8309925621954348
Universidad Nacional de la Asuncion;0.8970976253298153;0.7142857142857143;0.6097560975609756;0.7812560015363933
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8308351177730193;0.575;0.27058823529411763;0.6130428087465352
Universidad de Chile;0.9796251140664504;0.3910139647844566;0.6420737786640079;0.8134204018768069
Universidad de Los Andes;0.9345824071133694;0.5576208178438662;0.6329113924050633;0.7960230038948394
