Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9498905375820968;0.8271186440677966;0.6115288220551378;0.7988947989586034
PUCC;0.9678164713649116;0.7258883248730964;0.5035211267605634;0.7470852387049571
PUCP;0.9384264538198404;0.7922077922077922;0.3986928104575164;0.6943495282768531
TecMonterrey;0.9760536398467432;0.8496042216358839;0.503125;0.7496650299600532
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;1.0;1.0;1.0;1.0
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.965019011406844;0.8456375838926175;0.3783783783783784;0.6873468309706696
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.8518518518518519;0.9;0.45;0.7168032786885246
USFQ;0.7912087912087912;1.0;0.05;0.525
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.969321351100093;0.7345679012345679;0.4343065693430657;0.7136743202702384
Unicamp;0.9709895777371872;0.8910081743869209;0.5870736086175943;0.7912510900230828
Universidad Nacional de la Asuncion;0.8984168865435356;0.9423076923076924;0.3983739837398374;0.6968247871455093
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8565310492505354;0.8214285714285714;0.27058823529411763;0.6287496150292577
Universidad de Chile;0.9874190315197392;0.5852631578947368;0.5543369890329013;0.7741765742199924
Universidad de Los Andes;0.9536360749444268;0.7757575757575758;0.540084388185654;0.7636891721148051
