Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9379712965215276;0.6714285714285714;0.7067669172932329;0.8347950965776509
PUCC;0.9574187159597294;0.5361111111111111;0.6795774647887324;0.8253298579354919
PUCP;0.9327251995438997;0.6548672566371682;0.4836601307189543;0.7296501777892086
TecMonterrey;0.9724137931034482;0.6793103448275862;0.615625;0.8016207556591213
UCNSA;0.9130434782608696;1.0;0.8;0.9
UCV;1.0;1.0;1.0;1.0
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.96106463878327;0.6652360515021459;0.4654654654654655;0.7264847352960138
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.8118811881188119;0.9285714285714286;0.41935483870967744;0.7025345622119816
USB;0.8518518518518519;0.75;0.6;0.7672131147540984
USFQ;0.7802197802197802;0.5;0.3;0.6077464788732394
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.9642082429501084;0.5686900958466453;0.6496350364963503;0.8138951881510877
Unicamp;0.9726012678628988;0.8528037383177571;0.6552962298025135;0.8240481149012566
Universidad Nacional de la Asuncion;0.8970976253298153;0.7142857142857143;0.6097560975609756;0.7812560015363933
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8479657387580299;0.71875;0.27058823529411763;0.6235140129350168
Universidad de Chile;0.9796251140664504;0.3910139647844566;0.6420737786640079;0.8134204018768069
Universidad de Los Andes;0.9345824071133694;0.5576208178438662;0.6329113924050633;0.7960230038948394
