Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9379712965215276;0.6714285714285714;0.7067669172932329;0.8347950965776509
PUCC;0.9584089783792704;0.6176470588235294;0.29577464788732394;0.6433851594414975
PUCP;0.9230330672748004;0.6071428571428571;0.3333333333333333;0.6563606079533625
TecMonterrey;0.9724137931034482;0.6793103448275862;0.615625;0.8016207556591213
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9584790874524716;0.7173913043478259;0.2972972972972973;0.6455246499302892
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7037037037037037;0.0;0.0;0.4672131147540984
USFQ;0.8681318681318682;0.9;0.45;0.7179577464788733
USP;0.9820933833116036;0.86001386001386;0.6470281543274244;0.8213728857284779
Udelar;0.9637434149364736;0.6666666666666666;0.291970802919708;0.6427491555051615
Unicamp;0.9722252068335662;0.8327759197324415;0.670556552962298;0.8309925621954348
Universidad Nacional de la Asuncion;0.907651715039578;0.8840579710144928;0.4959349593495935;0.7416682670763715
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.7922912205567452;0.2;0.047058823529411764;0.5025870033877425
Universidad de Chile;0.9795652759286132;0.3901996370235935;0.6430707876370887;0.8138809378316663
Universidad de Los Andes;0.9412511908542396;0.7241379310344828;0.35443037974683544;0.6717206843789123
