Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9418632936025298;0.8225806451612904;0.5112781954887218;0.7497123736064298
PUCC;0.9617098531110744;0.6529411764705882;0.3908450704225352;0.6903143101030424
PUCP;0.9350057012542758;0.819672131147541;0.32679738562091504;0.6599633399060227
TecMonterrey;0.9733077905491698;0.8404907975460123;0.428125;0.7123314747003995
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;1.0;1.0;1.0;1.0
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9607604562737644;0.7952755905511811;0.3033033033033033;0.6495689858394119
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.8148148148148148;0.8571428571428571;0.3;0.6418032786885246
USFQ;0.7912087912087912;1.0;0.05;0.525
USP;0.9739243807040416;0.8452380952380952;0.4071949947862357;0.7020817034562935
Udelar;0.9640533002788968;0.6909090909090909;0.2773722627737226;0.6359353223253726
Unicamp;0.960083807886537;0.8403669724770643;0.4111310592459605;0.7030798153372658
Universidad Nacional de la Asuncion;0.8773087071240105;0.9411764705882352;0.2601626016260163;0.6285064976634019
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8;0.2352941176470588;0.6111025562057284
Universidad de Chile;0.987104881296094;0.5816917728852838;0.5004985044865404;0.7475079242559062
Universidad de Los Andes;0.9434741187678628;0.7610619469026548;0.3628691983122363;0.6767986101451291
