Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.929700802724398;0.6510989010989011;0.5939849624060151;0.7798858001685248
PUCC;0.9587390658524508;0.553125;0.6232394366197183;0.7992387659289067
PUCP;0.9338654503990876;0.6907216494845361;0.4379084967320261;0.709585104081191
TecMonterrey;0.9699872286079184;0.6622137404580153;0.5421875;0.7652016061917444
UCNSA;0.7826086956521741;1.0;0.5;0.75
UCV;0.8888888888888888;1.0;0.6666666666666666;0.8333333333333333
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9616730038022814;0.6784140969162996;0.4624624624624625;0.7253837464507122
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.7524752475247525;0.875;0.2258064516129032;0.6057603686635945
USB;0.8148148148148148;0.6923076923076923;0.45;0.6922131147540984
USFQ;0.7472527472527473;0.3636363636363637;0.2;0.5507042253521126
USP;0.9740873533246416;0.8357588357588358;0.4191866527632951;0.7079185330808206
Udelar;0.9598698481561824;0.5247524752475248;0.5802919708029197;0.7784954999645667
Unicamp;0.9640593101966262;0.8428351309707242;0.4910233393177738;0.7425973839446012
Universidad Nacional de la Asuncion;0.8799472295514512;0.6951219512195121;0.4634146341463415;0.7120222777030919
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.854389721627409;0.7428571428571429;0.3058823529411765;0.6411610717585464
Universidad de Chile;0.9795203973252352;0.3871763255240444;0.6261216350947159;0.8055126734491864
Universidad de Los Andes;0.928866306764052;0.5288888888888889;0.5021097046413502;0.7328543028701255
