Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.917538311846266;0.6071428571428571;0.42606516290726815;0.6982157711088065
PUCC;0.9514771414424824;0.4683544303797468;0.2605633802816901;0.6230089628681177
PUCP;0.9167616875712656;0.5660377358490566;0.19607843137254904;0.590856205067911
TecMonterrey;0.9643039591315452;0.6103542234332425;0.35;0.6702396804260986
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.5;0.6666666666666666;0.6666666666666667
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9533079847908744;0.5783132530120482;0.2882882882882883;0.6385369669573451
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7160493827160493;0.0;0.0;0.4754098360655738
USFQ;0.8021978021978022;1.0;0.1;0.55
USP;0.9741077249022164;0.8324768756423433;0.42231491136600624;0.7094296625941755
Udelar;0.9586303067864891;0.52046783625731;0.3248175182481752;0.6557744549169678
Unicamp;0.9583646717524444;0.7917383820998278;0.4129263913824057;0.7030060528340599
Universidad Nacional de la Asuncion;0.8482849604221636;0.7;0.11382113821138212;0.5521861596568721
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.7922912205567452;0.2;0.047058823529411764;0.5025870033877425
Universidad de Chile;0.9772465480874236;0.3058470764617691;0.4067796610169492;0.6963580584411639
Universidad de Los Andes;0.9320419180692284;0.6017699115044248;0.2869198312236287;0.6357332672601659
