Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9163220627584531;0.5846153846153846;0.4761904761904762;0.7199109708538588
PUCC;0.9316718930516588;0.34953703703703703;0.5316901408450704;0.7415160660935309
PUCP;0.9099201824401368;0.4842767295597484;0.5032679738562091;0.7260249925495912
TecMonterrey;0.9666666666666668;0.6244725738396625;0.4625;0.725324567243675
UCNSA;0.6521739130434783;1.0;0.2;0.6
UCV;0.6111111111111112;0.4444444444444444;0.6666666666666666;0.6249999999999999
UM;0.42857142857142855;0.0;0.0;0.3
UNAM;0.9484410646387832;0.4907975460122699;0.4804804804804805;0.7269432200544024
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.7524752475247525;0.7142857142857143;0.3225806451612903;0.6327188940092165
USB;0.7037037037037037;0.0;0.0;0.4672131147540984
USFQ;0.7142857142857143;0.3125;0.25;0.5475352112676056
USP;0.9741077249022164;0.8324768756423433;0.42231491136600624;0.7094296625941755
Udelar;0.9471645491168268;0.40233236151603496;0.5036496350364964;0.7352390570004489
Unicamp;0.9583646717524444;0.79073756432247;0.4138240574506284;0.7034263144395999
Universidad Nacional de la Asuncion;0.8430079155672823;0.5208333333333334;0.4065040650406504;0.6670315600793802
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.7944325481798715;0.21052631578947367;0.047058823529411764;0.5038959039113028
Universidad de Chile;0.977007195536075;0.31509695290858725;0.4536390827517448;0.7193093658093819
Universidad de Los Andes;0.9190219117180056;0.453125;0.3670886075949367;0.6655154576436223
