Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9379712965215276;0.6714285714285714;0.7067669172932329;0.8347950965776509
PUCC;0.9409143423007096;0.4254032258064516;0.7429577464788732;0.8468035485641119
PUCP;0.919042189281642;0.5265700483091788;0.7124183006535948;0.8256032789963791
TecMonterrey;0.9724137931034482;0.6793103448275862;0.615625;0.8016207556591213
UCNSA;0.6521739130434783;1.0;0.2;0.6
UCV;0.7222222222222222;0.5454545454545454;1.0;0.7916666666666666
UM;0.42857142857142855;0.0;0.0;0.3
UNAM;0.957110266159696;0.5652173913043478;0.6636636636636637;0.8182144015210341
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.6831683168316832;0.0;0.0;0.4928571428571429
USB;0.7037037037037037;0.0;0.0;0.4672131147540984
USFQ;0.7802197802197802;0.5;0.6;0.7154929577464789
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.956461109389526;0.4916467780429594;0.7518248175182481;0.8586793990503863
Unicamp;0.9722252068335662;0.8327759197324415;0.670556552962298;0.8309925621954348
Universidad Nacional de la Asuncion;0.8997361477572561;0.6620689655172414;0.7804878048780488;0.85166122527367
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.7944325481798715;0.21052631578947367;0.047058823529411764;0.5038959039113028
Universidad de Chile;0.9796251140664504;0.3910139647844566;0.6420737786640079;0.8134204018768069
Universidad de Los Andes;0.9345824071133694;0.5576208178438662;0.6329113924050633;0.7960230038948394
