Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9421065434200924;0.8232931726907631;0.5137844611528822;0.7509655064385101
PUCC;0.9618748968476646;0.6568047337278107;0.3908450704225352;0.6904008901896226
PUCP;0.9355758266818699;0.8225806451612904;0.3333333333333333;0.6632313137622319
TecMonterrey;0.9734355044699872;0.8414634146341463;0.43125;0.7138939747003995
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;1.0;1.0;1.0;1.0
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9587832699619772;0.7540983606557377;0.2762762762762763;0.6357350622009386
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.8148148148148148;0.8571428571428571;0.3;0.6418032786885246
USFQ;0.7912087912087912;1.0;0.05;0.525
USP;0.9776320078226858;0.8680430879712747;0.5041710114702815;0.7505273119679158
Udelar;0.9640533002788968;0.6909090909090909;0.2773722627737226;0.6359353223253726
Unicamp;0.9597614698613948;0.8264758497316637;0.414721723518851;0.7045894331879969
Universidad Nacional de la Asuncion;0.8680738786279684;0.8709677419354839;0.2195121951219512;0.606606491261763
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.8351177730192719;0.6818181818181818;0.17647058823529413;0.5790729904527255
Universidad de Chile;0.9869253668825826;0.5745664739884393;0.4955134596211366;0.7449622458788508
Universidad de Los Andes;0.9476024134645921;0.7857142857142857;0.4177215189873418;0.704224770482682
