Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.929700802724398;0.6519337016574586;0.5914786967418546;0.7787673656123066
PUCC;0.9587390658524508;0.553125;0.6232394366197183;0.7992387659289067
PUCP;0.9338654503990876;0.6907216494845361;0.4379084967320261;0.709585104081191
TecMonterrey;0.9710089399744573;0.6703296703296703;0.571875;0.7799454893475365
UCNSA;0.9130434782608696;1.0;0.8;0.9
UCV;0.8888888888888888;1.0;0.6666666666666666;0.8333333333333333
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9606083650190114;0.6541666666666667;0.4714714714714714;0.7290872256428167
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.7524752475247525;0.875;0.2258064516129032;0.6057603686635945
USB;0.8148148148148148;0.6923076923076923;0.45;0.6922131147540984
USFQ;0.7802197802197802;0.5;0.2;0.5718309859154929
USP;0.9778968383311604;0.8643919510061242;0.5151199165797706;0.7559169648618591
Udelar;0.9612643321970872;0.541095890410959;0.5766423357664233;0.7774797439349915
Unicamp;0.9598151928655849;0.8210526315789474;0.4201077199281867;0.7071395742498077
Universidad Nacional de la Asuncion;0.8852242744063324;0.7142857142857143;0.4878048780487805;0.7250048012291146
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8522483940042827;0.7222222222222222;0.3058823529411765;0.6398521712349863
Universidad de Chile;0.9795203973252352;0.3871763255240444;0.6261216350947159;0.8055126734491864
Universidad de Los Andes;0.9342648459828516;0.5675675675675675;0.5316455696202531;0.7493392683266101
