Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9318900510824616;0.7003367003367004;0.5213032581453634;0.7486634825209576
PUCC;0.94966166033999;0.4524886877828054;0.35211267605633795;0.6655801475519786
PUCP;0.9133409350057012;0.5046728971962616;0.35294117647058826;0.6599184333321086
TecMonterrey;0.9659642401021712;0.6301703163017032;0.4046875;0.6972838298934754
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.7777777777777778;1.0;0.3333333333333333;0.6666666666666666
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9554372623574144;0.5833333333333334;0.4204204204204205;0.7021999570862115
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7407407407407407;0.4615384615384616;0.3;0.5926229508196722
USFQ;0.8681318681318682;0.9;0.45;0.7179577464788733
USP;0.9816655801825294;0.8579465541490858;0.6360792492179353;0.8158984331737333
Udelar;0.9570808800743724;0.492462311557789;0.35766423357664234;0.6706605957527224
Unicamp;0.9678736434941442;0.8282442748091603;0.5843806104129264;0.7883331623493203
Universidad Nacional de la Asuncion;0.9102902374670184;0.9230769230769232;0.4878048780487805;0.7399654311503745
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.8308351177730193;0.5714285714285714;0.2823529411764706;0.6176162611641515
Universidad de Chile;0.9787574610678116;0.3461254612546125;0.4675972083748754;0.7270705803735746
Universidad de Los Andes;0.9368053350269928;0.625;0.4008438818565401;0.6906348530161821
