Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9348090488932134;0.6775067750677507;0.6265664160401002;0.7972541131924639
PUCC;0.9381085987786764;0.3853904282115869;0.5387323943661971;0.7482406560575574
PUCP;0.9139110604332952;0.5055555555555555;0.5947712418300654;0.7695904928700608
TecMonterrey;0.9703703703703704;0.6654135338345865;0.553125;0.7706370672436752
UCNSA;0.6956521739130435;0.7142857142857143;0.5;0.673076923076923
UCV;0.7777777777777778;1.0;0.3333333333333333;0.6666666666666666
UM;0.21428571428571427;0.1111111111111111;0.25;0.225
UNAM;0.9533079847908744;0.5377906976744186;0.5555555555555556;0.7650414753106198
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.5841584158415841;0.36585365853658536;0.4838709677419355;0.556221198156682
USB;0.6790123456790124;0.38461538461538464;0.5;0.6188524590163934
USFQ;0.7802197802197802;0.5;0.5;0.6795774647887323
USP;0.9821137548891786;0.8606102635228848;0.6470281543274244;0.8213834856860781
Udelar;0.952897427951658;0.4594594594594595;0.6204379562043796;0.7940377483287271
Unicamp;0.9710970237455678;0.8310344827586207;0.6490125673249552;0.8203062836624776
Universidad Nacional de la Asuncion;0.8825857519788918;0.6416666666666667;0.6260162601626016;0.7791498623647654
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.7623126338329764;0.3617021276595745;0.4;0.6214659685863874
Universidad de Chile;0.9788172992056487;0.3640552995391705;0.5513459621136589;0.7683374607360712
Universidad de Los Andes;0.9275960622419815;0.51931330472103;0.510548523206751;0.7360434923726064
