Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9034298224276331;0.9034298224276331;0.75;0.75;0.0075187969924812035;0.0075187969924812035;0.5036247002203786;0.5036247002203786
PUCC;0.8296748638389173;0.9536227100181548;0.09957173447537472;0.7142857142857143;0.3274647887323944;0.017605633802816902;0.5909185415523444;0.5086296567282483
PUCP;0.7440136830102623;0.9133409350057012;0.16055045871559634;0.6;0.457516339869281;0.0196078431372549;0.6144546096598122;0.5091793119496393
TecMonterrey;0.9590038314176246;0.9590676883780332;0.3333333333333333;0.0;0.003125;0.0;0.501429344207723;0.4999667110519308
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;0.6666666666666666;0.6666666666666666;0.0;0.0;0.0;0.0;0.5;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.8038022813688213;0.9492015209125476;0.1119221411192214;0.4;0.4144144144144144;0.006006006006006006;0.6194949354994213;0.5027626954092831
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.4691358024691358;0.7530864197530864;0.17142857142857146;0.0;0.3;0.0;0.4122950819672132;0.5
USFQ;0.7912087912087912;0.7802197802197802;0.5294117647058824;0.0;0.45;0.0;0.6686619718309859;0.5
USP;0.3099535528031291;0.9608865710560626;0.040863243196643584;0.3333333333333333;0.7413972888425443;0.0010427528675703858;0.5169038596004114;0.5004789766033846
Udelar;0.9573907654167958;0.9573907654167958;0.3333333333333333;0.3333333333333333;0.0036496350364963507;0.0036496350364963507;0.5016630052205134;0.5016630052205134
Unicamp;0.9401525733319008;0.9401525733319008;0.0;0.0;0.0;0.0;0.5;0.5
Universidad Nacional de la Asuncion;0.841688654353562;0.8390501319261213;0.8;0.6666666666666666;0.032520325203252036;0.016260162601626018;0.5154727610268228;0.5073426797260099
Universidad Torcuato Di Tella;0.5263157894736842;0.9473684210526316;0.0;0.0;0.0;0.0;0.2777777777777778;0.5
Universidad de Antioquia;0.8115631691648822;0.8158458244111351;0.2;0.0;0.011764705882352941;0.0;0.5006467508469357;0.4986910994764398
Universidad de Chile;0.7974329438867862;0.9847711939204452;0.026152683295540442;0.2;0.34496510468594216;0.004985044865403789;0.5746452399075175;0.5023406483059781
Universidad de Los Andes;0.7840584312480152;0.9244204509368054;0.14100486223662884;0.42857142857142855;0.3670886075949367;0.012658227848101266;0.5925415565447211;0.5056423007372375
