Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9498905375820968;0.9053758209681344;0.8271186440677966;0.75;0.6115288220551378;0.03759398496240601;0.7988947989586034;0.5181235011018926
PUCC;0.9678164713649116;0.9551081036474666;0.7258883248730964;0.7727272727272727;0.5035211267605634;0.05985915492957746;0.7470852387049571;0.5294966770318883
PUCP;0.9384264538198404;0.9179019384264538;0.7922077922077922;0.8;0.3986928104575164;0.0784313725490196;0.6943495282768531;0.5382787718460276
TecMonterrey;0.9760536398467432;0.9614303959131544;0.8496042216358839;0.8913043478260869;0.503125;0.0640625;0.7496650299600532;0.5318648052596537
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;1.0;0.6666666666666666;1.0;0.0;1.0;0.0;1.0;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.965019011406844;0.951787072243346;0.8456375838926175;0.8636363636363636;0.3783783783783784;0.05705705705705705;0.6873468309706696;0.5282882209348085
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.8518518518518519;0.7283950617283951;0.9;0.0;0.45;0.0;0.7168032786885246;0.4836065573770492
USFQ;0.7912087912087912;0.7802197802197802;1.0;0.0;0.05;0.0;0.525;0.5
USP;0.9821137548891786;0.9616606910039114;0.8606102635228848;0.9285714285714286;0.6470281543274244;0.020333680917622526;0.8213834856860781;0.5101350405860108
Udelar;0.969321351100093;0.9587852494577006;0.7345679012345679;0.8333333333333334;0.4343065693430657;0.0364963503649635;0.7136743202702384;0.5180863628847471
Unicamp;0.9709895777371872;0.9400988503277103;0.8910081743869209;0.0;0.5870736086175943;0.0;0.7912510900230828;0.4999714285714286
Universidad Nacional de la Asuncion;0.8984168865435356;0.8482849604221636;0.9423076923076924;0.8333333333333334;0.3983739837398374;0.08130081300813008;0.6968247871455093;0.5390756033544587
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.8565310492505354;0.8244111349036403;0.8214285714285714;0.8;0.27058823529411763;0.047058823529411764;0.6287496150292577;0.5222205112411458
Universidad de Chile;0.9874190315197392;0.9856538064535432;0.5852631578947368;0.7;0.5543369890329013;0.07676969092721835;0.7741765742199924;0.538134253154515
Universidad de Los Andes;0.9536360749444268;0.9301365512861226;0.7757575757575758;0.8148148148148148;0.540084388185654;0.09282700421940927;0.7636891721148051;0.5455549856261881
