Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9379712965215276;0.9119435660423256;0.6714285714285714;0.7846153846153846;0.7067669172932329;0.12781954887218044;0.8347950965776509;0.5620239985740213
PUCC;0.9574187159597294;0.9653408153160588;0.5361111111111111;0.8425925925925926;0.6795774647887324;0.3204225352112676;0.8253298579354919;0.6587394061337722
PUCP;0.9327251995438997;0.9161915621436716;0.6548672566371682;0.7142857142857143;0.4836601307189543;0.06535947712418301;0.7296501777892086;0.5314305193241152
TecMonterrey;0.9724137931034482;0.9656449553001276;0.6793103448275862;0.9112903225806452;0.615625;0.1765625;0.8016207556591213;0.5879150715712383
UCNSA;0.9130434782608696;0.6521739130434783;1.0;1.0;0.8;0.2;0.9;0.6
UCV;1.0;0.6666666666666666;1.0;0.0;1.0;0.0;1.0;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.96106463878327;0.95574144486692;0.6652360515021459;0.8888888888888888;0.4654654654654655;0.14414414414414414;0.7264847352960138;0.5715914568846322
UPB;0.38461538461538464;0.38461538461538464;0.0;0.0;0.0;0.0;0.35714285714285715;0.35714285714285715
UPCH;0.8118811881188119;0.6831683168316832;0.9285714285714286;0.0;0.41935483870967744;0.0;0.7025345622119816;0.4928571428571429
USB;0.8518518518518519;0.7777777777777778;0.75;0.6;0.6;0.3;0.7672131147540984;0.6172131147540983
USFQ;0.7802197802197802;0.7802197802197802;0.5;0.0;0.3;0.0;0.6077464788732394;0.5
USP;0.9821137548891786;0.9626181551499348;0.8606102635228848;0.936842105263158;0.6470281543274244;0.04640250260688217;0.8213834856860781;0.5231376515578401
Udelar;0.9642082429501084;0.9645181282925318;0.5686900958466453;0.9591836734693876;0.6496350364963503;0.17153284671532848;0.8138951881510877;0.5856046110599296
Unicamp;0.9726012678628988;0.9432147845707533;0.8528037383177571;0.9830508474576272;0.6552962298025135;0.05206463195691203;0.8240481149012566;0.5260037445498845
Universidad Nacional de la Asuncion;0.8970976253298153;0.8482849604221636;0.7142857142857143;0.7857142857142857;0.6097560975609756;0.08943089430894309;0.7812560015363933;0.542353242430062
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.8479657387580299;0.8501070663811563;0.71875;0.8571428571428571;0.27058823529411763;0.21176470588235294;0.6235140129350168;0.6019556513704958
Universidad de Chile;0.9796251140664504;0.986850569210286;0.3910139647844566;0.7792792792792793;0.6420737786640079;0.17248255234297108;0.8134204018768069;0.5858691845610123
Universidad de Los Andes;0.9345824071133694;0.9368053350269928;0.5576208178438662;0.8518518518518519;0.6329113924050633;0.1940928270042194;0.7960230038948394;0.5956727871284834
