Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9379712965215276;0.9022135733398199;0.6714285714285714;0.2;0.7067669172932329;0.0025062656641604013;0.8347950965776509;0.5007143397286319
PUCC;0.9584089783792704;0.9519722726522528;0.6176470588235294;0.41025641025641024;0.29577464788732394;0.056338028169014086;0.6433851594414975;0.526177672093165
PUCP;0.9230330672748004;0.9116305587229192;0.6071428571428571;0.4;0.3333333333333333;0.026143790849673203;0.6563606079533625;0.5111980665678721
TecMonterrey;0.9724137931034482;0.9588122605363985;0.6793103448275862;0.14285714285714285;0.615625;0.0015625;0.8016207556591213;0.5005815163115845
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;0.5555555555555556;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.0;0.5;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9584790874524716;0.9492015209125476;0.7173913043478259;0.42857142857142855;0.2972972972972973;0.009009009009009007;0.6455246499302892;0.5041840943795445
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.7037037037037037;0.7407407407407407;0.0;0.0;0.0;0.0;0.4672131147540984;0.4918032786885246
USFQ;0.8681318681318682;0.7802197802197802;0.9;0.0;0.45;0.0;0.7179577464788733;0.5
USP;0.9820933833116036;0.9608661994784876;0.86001386001386;0.0;0.6470281543274244;0.0;0.8213728857284779;0.4999682001271995
Udelar;0.9637434149364736;0.9573907654167958;0.6666666666666666;0.3333333333333333;0.291970802919708;0.0036496350364963507;0.6427491555051615;0.5016630052205134
Unicamp;0.9722252068335662;0.9400988503277103;0.8327759197324415;0.0;0.670556552962298;0.0;0.8309925621954348;0.4999714285714286
Universidad Nacional de la Asuncion;0.907651715039578;0.8430079155672823;0.8840579710144928;0.8333333333333334;0.4959349593495935;0.04065040650406504;0.7416682670763715;0.5195378016772293
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.7922912205567452;0.8179871520342612;0.2;0.5;0.047058823529411764;0.047058823529411764;0.5025870033877425;0.518293809670465
Universidad de Chile;0.9795652759286132;0.984292488817748;0.3901996370235935;0.3025210084033613;0.6430707876370887;0.03589232303090728;0.8138809378316663;0.51731588388955
Universidad de Los Andes;0.9412511908542396;0.92378532867577;0.7241379310344828;0.4516129032258064;0.35443037974683544;0.059071729957805914;0.6717206843789123;0.5266169089349468
