Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9418632936025298;0.9053758209681344;0.8225806451612904;0.75;0.5112781954887218;0.03759398496240601;0.7497123736064298;0.5181235011018926
PUCC;0.9617098531110744;0.9551081036474666;0.6529411764705882;0.7727272727272727;0.3908450704225352;0.05985915492957746;0.6903143101030424;0.5294966770318883
PUCP;0.9350057012542758;0.9179019384264538;0.819672131147541;0.8;0.32679738562091504;0.0784313725490196;0.6599633399060227;0.5382787718460276
TecMonterrey;0.9733077905491698;0.9614942528735632;0.8404907975460123;0.9111111111111112;0.428125;0.0640625;0.7123314747003995;0.5318980942077229
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;1.0;0.6666666666666666;1.0;0.0;1.0;0.0;1.0;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9607604562737644;0.9516349809885932;0.7952755905511811;0.8260869565217391;0.3033033033033033;0.05705705705705705;0.6495689858394119;0.5282081184035685
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.8148148148148148;0.7283950617283951;0.8571428571428571;0.0;0.3;0.0;0.6418032786885246;0.4836065573770492
USFQ;0.7912087912087912;0.7802197802197802;1.0;0.0;0.05;0.0;0.525;0.5
USP;0.9739243807040416;0.9616606910039114;0.8452380952380952;0.9285714285714286;0.4071949947862357;0.020333680917622526;0.7020817034562935;0.5101350405860108
Udelar;0.9640533002788968;0.9587852494577006;0.6909090909090909;0.8333333333333334;0.2773722627737226;0.0364963503649635;0.6359353223253726;0.5180863628847471
Unicamp;0.960083807886537;0.9400988503277103;0.8403669724770643;0.0;0.4111310592459605;0.0;0.7030798153372658;0.4999714285714286
Universidad Nacional de la Asuncion;0.8773087071240105;0.8482849604221636;0.9411764705882352;0.8333333333333334;0.2601626016260163;0.08130081300813008;0.6285064976634019;0.5390756033544587
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8244111349036403;0.8;0.8;0.2352941176470588;0.047058823529411764;0.6111025562057284;0.5222205112411458
Universidad de Chile;0.987104881296094;0.9856687659880023;0.5816917728852838;0.7064220183486238;0.5004985044865404;0.07676969092721835;0.7475079242559062;0.5381418468608512
Universidad de Los Andes;0.9434741187678628;0.9304541124166402;0.7610619469026548;0.8214285714285714;0.3628691983122363;0.0970464135021097;0.6767986101451291;0.5476646902675383
