Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.929700802724398;0.9104840671369496;0.6510989010989011;0.7460317460317459;0.5939849624060151;0.11779448621553885;0.7798858001685248;0.5567420706939764
PUCC;0.9587390658524508;0.961214721901304;0.553125;0.7951807228915663;0.6232394366197183;0.2323943661971831;0.7992387659289067;0.61472532162673
PUCP;0.9338654503990876;0.9161915621436716;0.6907216494845361;0.7142857142857143;0.4379084967320261;0.06535947712418301;0.709585104081191;0.5314305193241152
TecMonterrey;0.9699872286079184;0.9646871008939976;0.6622137404580153;0.8782608695652174;0.5421875;0.1578125;0.7652016061917444;0.5784402047270306
UCNSA;0.7826086956521741;0.6521739130434783;1.0;1.0;0.5;0.2;0.75;0.6
UCV;0.8888888888888888;0.6666666666666666;1.0;0.0;0.6666666666666666;0.0;0.8333333333333333;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9616730038022814;0.9536121673003802;0.6784140969162996;0.85;0.4624624624624625;0.1021021021021021;0.7253837464507122;0.5505704358636111
UPB;0.4615384615384616;0.38461538461538464;0.3333333333333333;0.0;0.16666666666666666;0.0;0.4404761904761905;0.35714285714285715
UPCH;0.7524752475247525;0.6831683168316832;0.875;0.0;0.2258064516129032;0.0;0.6057603686635945;0.4928571428571429
USB;0.8148148148148148;0.7777777777777778;0.6923076923076923;0.6;0.45;0.3;0.6922131147540984;0.6172131147540983
USFQ;0.7472527472527473;0.7802197802197802;0.3636363636363637;0.0;0.2;0.0;0.5507042253521126;0.5
USP;0.9740873533246416;0.963820078226858;0.8357588357588358;0.9610389610389609;0.4191866527632951;0.07716371220020855;0.7079185330808206;0.5385182563545032
Udelar;0.9598698481561824;0.9629687015804153;0.5247524752475248;0.9487179487179488;0.5802919708029197;0.13503649635036494;0.7784954999645667;0.5673564358774478
Unicamp;0.9640593101966262;0.9432147845707533;0.8428351309707242;0.9830508474576272;0.4910233393177738;0.05206463195691203;0.7425973839446012;0.5260037445498845
Universidad Nacional de la Asuncion;0.8799472295514512;0.8482849604221636;0.6951219512195121;0.7857142857142857;0.4634146341463415;0.08943089430894309;0.7120222777030919;0.542353242430062
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.854389721627409;0.8501070663811563;0.7428571428571429;0.8571428571428571;0.3058823529411765;0.21176470588235294;0.6411610717585464;0.6019556513704958
Universidad de Chile;0.9795203973252352;0.9870899217616348;0.3871763255240444;0.7916666666666666;0.6261216350947159;0.189431704885344;0.8055126734491864;0.5943361671258626
Universidad de Los Andes;0.928866306764052;0.9355350905049222;0.5288888888888889;0.8695652173913043;0.5021097046413502;0.16877637130801687;0.7328543028701255;0.5833579658737886
