Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9163220627584531;0.901483823887132;0.5846153846153846;0.35;0.4761904761904762;0.017543859649122806;0.7199109708538588;0.5070208522383545
PUCC;0.9316718930516588;0.9518072289156626;0.34953703703703703;0.3947368421052632;0.5316901408450704;0.0528169014084507;0.7415160660935309;0.5244171087128834
PUCP;0.9099201824401368;0.9110604332953248;0.4842767295597484;0.2;0.5032679738562091;0.006535947712418301;0.7260249925495912;0.5020187546182329
TecMonterrey;0.9666666666666668;0.9583652618135376;0.6244725738396625;0.25;0.4625;0.009375;0.725324567243675;0.5040882989347536
UCNSA;0.6521739130434783;0.6521739130434783;1.0;1.0;0.2;0.2;0.6;0.6
UCV;0.6111111111111112;0.6666666666666666;0.4444444444444444;0.0;0.6666666666666666;0.0;0.6249999999999999;0.5
UM;0.42857142857142855;0.7142857142857143;0.0;0.0;0.0;0.0;0.3;0.5
UNAM;0.9484410646387832;0.9472243346007604;0.4907975460122699;0.2307692307692308;0.4804804804804805;0.018018018018018014;0.7269432200544024;0.5074069583842094
UPB;0.38461538461538464;0.38461538461538464;0.0;0.0;0.0;0.0;0.35714285714285715;0.35714285714285715
UPCH;0.7524752475247525;0.6831683168316832;0.7142857142857143;0.0;0.3225806451612903;0.0;0.6327188940092165;0.4928571428571429
USB;0.7037037037037037;0.7037037037037037;0.0;0.0;0.0;0.0;0.4672131147540984;0.4672131147540984
USFQ;0.7142857142857143;0.7472527472527473;0.3125;0.3333333333333333;0.25;0.15;0.5475352112676056;0.5327464788732393
USP;0.9741077249022164;0.9608865710560626;0.8324768756423433;0.0;0.42231491136600624;0.0;0.7094296625941755;0.4999788000847997
Udelar;0.9471645491168268;0.955066625348621;0.40233236151603496;0.19230769230769232;0.5036496350364964;0.01824817518248175;0.7352390570004489;0.5074250584650273
Unicamp;0.9583646717524444;0.9400988503277103;0.79073756432247;0.0;0.4138240574506284;0.0;0.7034263144395999;0.4999714285714286
Universidad Nacional de la Asuncion;0.8430079155672823;0.841688654353562;0.5208333333333334;0.6666666666666666;0.4065040650406504;0.04878048780487805;0.6670315600793802;0.5220280391780295
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.7944325481798715;0.7944325481798715;0.21052631578947367;0.21052631578947367;0.047058823529411764;0.047058823529411764;0.5038959039113028;0.5038959039113028
Universidad de Chile;0.977007195536075;0.984337367421126;0.31509695290858725;0.3103448275862069;0.4536390827517448;0.03589232303090728;0.7193093658093819;0.5173386650085586
Universidad de Los Andes;0.9190219117180056;0.9241028898062876;0.453125;0.4615384615384616;0.3670886075949367;0.05063291139240506;0.6655154576436223;0.5229126095423564
