Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9379712965215276;0.901483823887132;0.6714285714285714;0.35;0.7067669172932329;0.017543859649122806;0.8347950965776509;0.5070208522383545
PUCC;0.9409143423007096;0.9518072289156626;0.4254032258064516;0.3947368421052632;0.7429577464788732;0.0528169014084507;0.8468035485641119;0.5244171087128834
PUCP;0.919042189281642;0.9110604332953248;0.5265700483091788;0.2;0.7124183006535948;0.006535947712418301;0.8256032789963791;0.5020187546182329
TecMonterrey;0.9724137931034482;0.9583652618135376;0.6793103448275862;0.25;0.615625;0.009375;0.8016207556591213;0.5040882989347536
UCNSA;0.6521739130434783;0.6521739130434783;1.0;1.0;0.2;0.2;0.6;0.6
UCV;0.7222222222222222;0.6666666666666666;0.5454545454545454;0.0;1.0;0.0;0.7916666666666666;0.5
UM;0.42857142857142855;0.7142857142857143;0.0;0.0;0.0;0.0;0.3;0.5
UNAM;0.957110266159696;0.9472243346007604;0.5652173913043478;0.2307692307692308;0.6636636636636637;0.018018018018018014;0.8182144015210341;0.5074069583842094
UPB;0.38461538461538464;0.38461538461538464;0.0;0.0;0.0;0.0;0.35714285714285715;0.35714285714285715
UPCH;0.6831683168316832;0.6831683168316832;0.0;0.0;0.0;0.0;0.4928571428571429;0.4928571428571429
USB;0.7037037037037037;0.7037037037037037;0.0;0.0;0.0;0.0;0.4672131147540984;0.4672131147540984
USFQ;0.7802197802197802;0.7802197802197802;0.5;0.0;0.6;0.0;0.7154929577464789;0.5
USP;0.9821137548891786;0.9608865710560626;0.8606102635228848;0.0;0.6470281543274244;0.0;0.8213834856860781;0.4999788000847997
Udelar;0.956461109389526;0.955066625348621;0.4916467780429594;0.19230769230769232;0.7518248175182481;0.01824817518248175;0.8586793990503863;0.5074250584650273
Unicamp;0.9722252068335662;0.9400988503277103;0.8327759197324415;0.0;0.670556552962298;0.0;0.8309925621954348;0.4999714285714286
Universidad Nacional de la Asuncion;0.8997361477572561;0.841688654353562;0.6620689655172414;0.6666666666666666;0.7804878048780488;0.04878048780487805;0.85166122527367;0.5220280391780295
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.7944325481798715;0.7944325481798715;0.21052631578947367;0.21052631578947367;0.047058823529411764;0.047058823529411764;0.5038959039113028;0.5038959039113028
Universidad de Chile;0.9796251140664504;0.984337367421126;0.3910139647844566;0.3103448275862069;0.6420737786640079;0.03589232303090728;0.8134204018768069;0.5173386650085586
Universidad de Los Andes;0.9345824071133694;0.9241028898062876;0.5576208178438662;0.4615384615384616;0.6329113924050633;0.05063291139240506;0.7960230038948394;0.5229126095423564
