Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9421065434200924;0.90683531987351;0.8232931726907631;0.8076923076923077;0.5137844611528822;0.05263157894736842;0.7509655064385101;0.5256422980943739
PUCC;0.9618748968476646;0.9589041095890408;0.6568047337278107;0.8723404255319149;0.3908450704225352;0.1443661971830986;0.6904008901896226;0.5716636180720687
PUCP;0.9355758266818699;0.9179019384264538;0.8225806451612904;0.8;0.3333333333333333;0.0784313725490196;0.6632313137622319;0.5382787718460276
TecMonterrey;0.9734355044699872;0.9614942528735632;0.8414634146341463;0.9111111111111112;0.43125;0.0640625;0.7138939747003995;0.5318980942077229
UCNSA;0.6086956521739131;0.6086956521739131;1.0;1.0;0.1;0.1;0.55;0.55
UCV;1.0;0.6666666666666666;1.0;0.0;1.0;0.0;1.0;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9587832699619772;0.951787072243346;0.7540983606557377;0.8636363636363636;0.2762762762762763;0.05705705705705705;0.6357350622009386;0.5282882209348085
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.8148148148148148;0.8148148148148148;0.8571428571428571;0.8571428571428571;0.3;0.3;0.6418032786885246;0.6418032786885246
USFQ;0.7912087912087912;0.7802197802197802;1.0;0.0;0.05;0.0;0.525;0.5
USP;0.9776320078226858;0.9626385267275098;0.8680430879712747;0.946808510638298;0.5041710114702815;0.04640250260688217;0.7505273119679158;0.5231482515154402
Udelar;0.9640533002788968;0.9587852494577006;0.6909090909090909;0.8333333333333334;0.2773722627737226;0.0364963503649635;0.6359353223253726;0.5180863628847471
Unicamp;0.9597614698613948;0.9432147845707533;0.8264758497316637;0.9830508474576272;0.414721723518851;0.05206463195691203;0.7045894331879969;0.5260037445498845
Universidad Nacional de la Asuncion;0.8680738786279684;0.8496042216358839;0.8709677419354839;0.9090909090909092;0.2195121951219512;0.08130081300813008;0.606606491261763;0.5398630049292619
Universidad Torcuato Di Tella;0.8947368421052632;0.9473684210526316;0.0;0.0;0.0;0.0;0.4722222222222222;0.5
Universidad de Antioquia;0.8351177730192719;0.8244111349036403;0.6818181818181818;0.7142857142857143;0.17647058823529413;0.05882352941176471;0.5790729904527255;0.5267939636587621
Universidad de Chile;0.9869253668825826;0.9865513785211004;0.5745664739884393;0.8333333333333334;0.4955134596211366;0.1296111665004985;0.7449622458788508;0.5646081468855083
Universidad de Los Andes;0.9476024134645921;0.9301365512861226;0.7857142857142857;0.8148148148148148;0.4177215189873418;0.09282700421940927;0.704224770482682;0.5455549856261881
