Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.929700802724398;0.9267818049136464;0.6519337016574586;0.9016393442622952;0.5914786967418546;0.2756892230576441;0.7787673656123066;0.6362282322184774
PUCC;0.9587390658524508;0.9618748968476646;0.553125;0.8271604938271605;0.6232394366197183;0.2359154929577465;0.7992387659289067;0.6167456252667521
PUCP;0.9338654503990876;0.9270239452679591;0.6907216494845361;0.9032258064516128;0.4379084967320261;0.1830065359477124;0.709585104081191;0.590566353545374
TecMonterrey;0.9710089399744573;0.966219667943806;0.6703296703296703;0.9111111111111112;0.571875;0.1921875;0.7799454893475365;0.5956942826231689
UCNSA;0.9130434782608696;0.9130434782608696;1.0;1.0;0.8;0.8;0.9;0.9
UCV;0.8888888888888888;0.6666666666666666;1.0;0.0;0.6666666666666666;0.0;0.8333333333333333;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9606083650190114;0.9545247148288972;0.6541666666666667;0.8695652173913043;0.4714714714714714;0.12012012012012012;0.7290872256428167;0.5595794448726201
UPB;0.4615384615384616;0.4615384615384616;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.4404761904761905;0.4404761904761905
UPCH;0.7524752475247525;0.6930693069306929;0.875;0.5;0.2258064516129032;0.03225806451612903;0.6057603686635945;0.5089861751152074
USB;0.8148148148148148;0.8148148148148148;0.6923076923076923;0.6923076923076923;0.45;0.45;0.6922131147540984;0.6922131147540984
USFQ;0.7802197802197802;0.8241758241758241;0.5;1.0;0.2;0.2;0.5718309859154929;0.6
USP;0.9778968383311604;0.9656127770534549;0.8643919510061242;0.96;0.5151199165797706;0.1251303441084463;0.7559169648618591;0.5624591724782215
Udelar;0.9612643321970872;0.9648280136349552;0.541095890410959;0.912280701754386;0.5766423357664233;0.1897810218978102;0.7774797439349915;0.5944859802045686
Unicamp;0.9598151928655849;0.9485870849897926;0.8210526315789474;0.98159509202454;0.4201077199281867;0.1436265709156194;0.7071395742498077;0.5717275711720954
Universidad Nacional de la Asuncion;0.8852242744063324;0.8588390501319261;0.7142857142857143;0.9444444444444444;0.4878048780487805;0.13821138211382114;0.7250048012291146;0.5683182894821074
Universidad Torcuato Di Tella;0.7894736842105263;0.7894736842105263;0.0;0.0;0.0;0.0;0.4166666666666667;0.4166666666666667
Universidad de Antioquia;0.8522483940042827;0.8501070663811563;0.7222222222222222;0.8260869565217391;0.3058823529411765;0.2235294117647059;0.6398521712349863;0.6065291037881121
Universidad de Chile;0.9795203973252352;0.9874190315197392;0.3871763255240444;0.7934782608695652;0.6261216350947159;0.21834496510468596;0.8055126734491864;0.6087396412911802
Universidad de Los Andes;0.9342648459828516;0.9383931406795808;0.5675675675675675;0.9056603773584906;0.5316455696202531;0.20253164556962025;0.7493392683266101;0.6004073063012936
