Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9318900510824616;0.929700802724398;0.7003367003367004;0.9166666666666666;0.5213032581453634;0.3032581453634085;0.7486634825209576;0.6501473916472215
PUCC;0.94966166033999;0.9627001155306156;0.4524886877828054;0.8815789473684209;0.35211267605633795;0.2359154929577465;0.6655801475519786;0.6171785256996525
PUCP;0.9133409350057012;0.9247434435575826;0.5046728971962616;0.8181818181818182;0.35294117647058826;0.17647058823529413;0.6599184333321086;0.5863614652606827
TecMonterrey;0.9659642401021712;0.9663473818646232;0.6301703163017032;0.924812030075188;0.4046875;0.1921875;0.6972838298934754;0.5957608605193074
UCNSA;0.6086956521739131;0.5652173913043478;1.0;0.0;0.1;0.0;0.55;0.5
UCV;0.7777777777777778;0.6666666666666666;1.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.5
UM;0.7142857142857143;0.7142857142857143;0.0;0.0;0.0;0.0;0.5;0.5
UNAM;0.9554372623574144;0.9578707224334599;0.5833333333333334;0.85;0.4204204204204205;0.2042042042042042;0.7021999570862115;0.6011408717272223
UPB;0.5384615384615384;0.5384615384615384;0.0;0.0;0.0;0.0;0.5;0.5
UPCH;0.6930693069306929;0.6930693069306929;0.0;0.0;0.0;0.0;0.5;0.5
USB;0.7407407407407407;0.7530864197530864;0.4615384615384616;0.0;0.3;0.0;0.5926229508196722;0.5
USFQ;0.8681318681318682;0.7802197802197802;0.9;0.0;0.45;0.0;0.7179577464788733;0.5
USP;0.9816655801825294;0.9608865710560626;0.8579465541490858;0.3333333333333333;0.6360792492179353;0.0010427528675703858;0.8158984331737333;0.5004789766033846
Udelar;0.9570808800743724;0.9573907654167958;0.492462311557789;0.3333333333333333;0.35766423357664234;0.0036496350364963507;0.6706605957527224;0.5016630052205134
Unicamp;0.9678736434941442;0.9401525733319008;0.8282442748091603;0.0;0.5843806104129264;0.0;0.7883331623493203;0.5
Universidad Nacional de la Asuncion;0.9102902374670184;0.8390501319261213;0.9230769230769232;0.6666666666666666;0.4878048780487805;0.016260162601626018;0.7399654311503745;0.5073426797260099
Universidad Torcuato Di Tella;0.8947368421052632;0.8947368421052632;0.0;0.0;0.0;0.0;0.4722222222222222;0.4722222222222222
Universidad de Antioquia;0.8308351177730193;0.8158458244111351;0.5714285714285714;0.0;0.2823529411764706;0.0;0.6176162611641515;0.4986910994764398
Universidad de Chile;0.9787574610678116;0.984920789265038;0.3461254612546125;0.4603174603174603;0.4675972083748754;0.028913260219341975;0.7270705803735746;0.5141984440942406
Universidad de Los Andes;0.9368053350269928;0.9244204509368054;0.625;0.42857142857142855;0.4008438818565401;0.012658227848101266;0.6906348530161821;0.5056423007372375
