Universidad;Accuracy-Bagging;Accuracy-SVM;Precision-Bagging;Precision-SVM;Recall-Bagging;Recall-SVM;Roc_auc-Bagging;Roc_auc-SVM
ESPOL;0.9348090488932134;0.913646314765264;0.6775067750677507;0.6208791208791209;0.6265664160401002;0.2832080200501253;0.7972541131924639;0.6323098289905799
PUCC;0.9381085987786764;0.9483413104472684;0.3853904282115869;0.2769230769230769;0.5387323943661971;0.06338028169014084;0.7482406560575574;0.5276208767758064
PUCP;0.9139110604332952;0.9156214367160777;0.5055555555555555;0.5225225225225225;0.5947712418300654;0.3790849673202614;0.7695904928700608;0.6729903287569452
TecMonterrey;0.9703703703703704;0.9666666666666668;0.6654135338345865;0.625;0.553125;0.4609375;0.7706370672436752;0.7245766061917444
UCNSA;0.6956521739130435;0.5652173913043478;0.7142857142857143;0.5;0.5;0.7;0.673076923076923;0.5807692307692307
UCV;0.7777777777777778;0.6666666666666666;1.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.5
UM;0.21428571428571427;0.7142857142857143;0.1111111111111111;0.0;0.25;0.0;0.225;0.5
UNAM;0.9533079847908744;0.9501140684410646;0.5377906976744186;0.5112107623318386;0.5555555555555556;0.34234234234234234;0.7650414753106198;0.6624399952660126
UPB;0.4615384615384616;0.4615384615384616;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.4404761904761905;0.4404761904761905
UPCH;0.5841584158415841;0.6930693069306929;0.36585365853658536;0.0;0.4838709677419355;0.0;0.556221198156682;0.5
USB;0.6790123456790124;0.6790123456790124;0.38461538461538464;0.0;0.5;0.0;0.6188524590163934;0.4508196721311475
USFQ;0.7802197802197802;0.7142857142857143;0.5;0.3125;0.5;0.25;0.6795774647887323;0.5475352112676056
USP;0.9821137548891786;0.9659998370273792;0.8606102635228848;0.8761329305135952;0.6470281543274244;0.15119916579770595;0.8213834856860781;0.575164984637246
Udelar;0.952897427951658;0.9558413387046792;0.4594594594594595;0.4753363228699552;0.6204379562043796;0.3868613138686132;0.7940377483287271;0.6839646375168309
Unicamp;0.9710970237455678;0.9431073385623724;0.8310344827586207;0.8571428571428571;0.6490125673249552;0.059245960502693;0.8203062836624776;0.5293086945370608
Universidad Nacional de la Asuncion;0.8825857519788918;0.8601583113456465;0.6416666666666667;0.580952380952381;0.6260162601626016;0.4959349593495935;0.7791498623647654;0.7133218103834581
Universidad Torcuato Di Tella;0.8947368421052632;0.8947368421052632;0.0;0.0;0.0;0.0;0.4722222222222222;0.4722222222222222
Universidad de Antioquia;0.7623126338329764;0.8008565310492506;0.3617021276595745;0.4375;0.4;0.32941176470588235;0.6214659685863874;0.6175854635047736
Universidad de Chile;0.9788172992056487;0.9846515176447708;0.3640552995391705;0.4730679156908666;0.5513459621136589;0.20139581256231304;0.7683374607360712;0.598989322355514
Universidad de Los Andes;0.9275960622419815;0.9291838678945696;0.51931330472103;0.5573770491803278;0.510548523206751;0.2869198312236287;0.7360434923726064;0.6341879375898363
