Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9053758209681344;0.75;0.03759398496240601;0.5181235011018926
PUCC;0.9577488034329096;0.8684210526315791;0.11619718309859155;0.5576656911163953
PUCP;0.9179019384264538;0.8;0.0784313725490196;0.5382787718460276
TecMonterrey;0.9614303959131544;0.8913043478260869;0.0640625;0.5318648052596537
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.951787072243346;0.8636363636363636;0.05705705705705705;0.5282882209348085
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7654320987654321;0.6666666666666666;0.1;0.5418032786885246
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9626385267275098;0.946808510638298;0.04640250260688217;0.5231482515154402
Udelar;0.9587852494577006;0.8333333333333334;0.0364963503649635;0.5180863628847471
Unicamp;0.9432147845707533;0.9830508474576272;0.05206463195691203;0.5260037445498845
Universidad Nacional de la Asuncion;0.8456464379947229;0.875;0.05691056910569105;0.5276678829780423
Universidad Torcuato Di Tella;0.9473684210526316;0.0;0.0;0.5
Universidad de Antioquia;0.8244111349036403;0.8;0.047058823529411764;0.5222205112411458
Universidad de Chile;0.986267147366374;0.8014184397163121;0.11266201395812565;0.5561183832016495
Universidad de Los Andes;0.9301365512861226;0.8148148148148148;0.09282700421940927;0.5455549856261881
