Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9126733154950134;0.8333333333333334;0.12531328320802004;0.5613096588453893
PUCC;0.9660009902624196;0.875;0.3204225352112676;0.6590857264800927
PUCP;0.9236031927023944;0.88;0.1437908496732026;0.5709585104081191
TecMonterrey;0.9655810983397192;0.904;0.1765625;0.5878817826231689
UCNSA;0.9130434782608696;1.0;0.8;0.9
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.95574144486692;0.8888888888888888;0.14414414414414414;0.5715914568846322
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.6930693069306929;0.5;0.03225806451612903;0.5089861751152074
USB;0.7777777777777778;0.6;0.3;0.6172131147540983
USFQ;0.8241758241758241;1.0;0.2;0.6
USP;0.9667535853976532;0.9612903225806452;0.1553701772679875;0.5775578891427917
Udelar;0.9642082429501084;0.9215686274509804;0.17153284671532848;0.5854427987621951
Unicamp;0.9486945309981736;0.9818181818181818;0.14542190305206462;0.572625237240318
Universidad Nacional de la Asuncion;0.8588390501319261;0.9444444444444444;0.13821138211382114;0.5683182894821074
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8260869565217391;0.2235294117647059;0.6065291037881121
Universidad de Chile;0.9885260370697264;0.8511904761904762;0.2851445663010967;0.6421925978337389
Universidad de Los Andes;0.9368053350269928;0.8518518518518519;0.1940928270042194;0.5956727871284834
