Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9034298224276331;0.75;0.0075187969924812035;0.5036247002203786
PUCC;0.9536227100181548;0.7142857142857143;0.017605633802816902;0.5086296567282483
PUCP;0.9133409350057012;0.6;0.0196078431372549;0.5091793119496393
TecMonterrey;0.9590676883780332;0.0;0.0;0.4999667110519308
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9492015209125476;0.4;0.006006006006006006;0.5027626954092831
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7530864197530864;0.0;0.0;0.5
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9608865710560626;0.3333333333333333;0.0010427528675703858;0.5004789766033846
Udelar;0.9573907654167958;0.3333333333333333;0.0036496350364963507;0.5016630052205134
Unicamp;0.9401525733319008;0.0;0.0;0.5
Universidad Nacional de la Asuncion;0.8390501319261213;0.6666666666666666;0.016260162601626018;0.5073426797260099
Universidad Torcuato Di Tella;0.9473684210526316;0.0;0.0;0.5
Universidad de Antioquia;0.8158458244111351;0.0;0.0;0.4986910994764398
Universidad de Chile;0.9847711939204452;0.2;0.004985044865403789;0.5023406483059781
Universidad de Los Andes;0.9244204509368054;0.42857142857142855;0.012658227848101266;0.5056423007372375
