Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9119435660423256;0.7846153846153846;0.12781954887218044;0.5620239985740213
PUCC;0.9653408153160588;0.8425925925925926;0.3204225352112676;0.6587394061337722
PUCP;0.9161915621436716;0.7142857142857143;0.06535947712418301;0.5314305193241152
TecMonterrey;0.9656449553001276;0.9112903225806452;0.1765625;0.5879150715712383
UCNSA;0.6521739130434783;1.0;0.2;0.6
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.95574144486692;0.8888888888888888;0.14414414414414414;0.5715914568846322
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.6831683168316832;0.0;0.0;0.4928571428571429
USB;0.7777777777777778;0.6;0.3;0.6172131147540983
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9626181551499348;0.936842105263158;0.04640250260688217;0.5231376515578401
Udelar;0.9645181282925318;0.9591836734693876;0.17153284671532848;0.5856046110599296
Unicamp;0.9432147845707533;0.9830508474576272;0.05206463195691203;0.5260037445498845
Universidad Nacional de la Asuncion;0.8482849604221636;0.7857142857142857;0.08943089430894309;0.542353242430062
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8571428571428571;0.21176470588235294;0.6019556513704958
Universidad de Chile;0.986850569210286;0.7792792792792793;0.17248255234297108;0.5858691845610123
Universidad de Los Andes;0.9368053350269928;0.8518518518518519;0.1940928270042194;0.5956727871284834
