Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9104840671369496;0.7460317460317459;0.11779448621553885;0.5567420706939764
PUCC;0.961214721901304;0.7951807228915663;0.2323943661971831;0.61472532162673
PUCP;0.9161915621436716;0.7142857142857143;0.06535947712418301;0.5314305193241152
TecMonterrey;0.9646871008939976;0.8782608695652174;0.1578125;0.5784402047270306
UCNSA;0.6521739130434783;1.0;0.2;0.6
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9536121673003802;0.85;0.1021021021021021;0.5505704358636111
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.6831683168316832;0.0;0.0;0.4928571428571429
USB;0.7777777777777778;0.6;0.3;0.6172131147540983
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.963820078226858;0.9610389610389609;0.07716371220020855;0.5385182563545032
Udelar;0.9629687015804153;0.9487179487179488;0.13503649635036494;0.5673564358774478
Unicamp;0.9432147845707533;0.9830508474576272;0.05206463195691203;0.5260037445498845
Universidad Nacional de la Asuncion;0.8482849604221636;0.7857142857142857;0.08943089430894309;0.542353242430062
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8571428571428571;0.21176470588235294;0.6019556513704958
Universidad de Chile;0.9870899217616348;0.7916666666666666;0.189431704885344;0.5943361671258626
Universidad de Los Andes;0.9355350905049222;0.8695652173913043;0.16877637130801687;0.5833579658737886
