Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.901483823887132;0.35;0.017543859649122806;0.5070208522383545
PUCC;0.9518072289156626;0.3947368421052632;0.0528169014084507;0.5244171087128834
PUCP;0.9110604332953248;0.2;0.006535947712418301;0.5020187546182329
TecMonterrey;0.9583652618135376;0.25;0.009375;0.5040882989347536
UCNSA;0.6521739130434783;1.0;0.2;0.6
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9472243346007604;0.2307692307692308;0.018018018018018014;0.5074069583842094
UPB;0.38461538461538464;0.0;0.0;0.35714285714285715
UPCH;0.6831683168316832;0.0;0.0;0.4928571428571429
USB;0.7037037037037037;0.0;0.0;0.4672131147540984
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9608865710560626;0.0;0.0;0.4999788000847997
Udelar;0.955066625348621;0.19230769230769232;0.01824817518248175;0.5074250584650273
Unicamp;0.9400988503277103;0.0;0.0;0.4999714285714286
Universidad Nacional de la Asuncion;0.841688654353562;0.6666666666666666;0.04878048780487805;0.5220280391780295
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.7944325481798715;0.21052631578947367;0.047058823529411764;0.5038959039113028
Universidad de Chile;0.984337367421126;0.3103448275862069;0.03589232303090728;0.5173386650085586
Universidad de Los Andes;0.9241028898062876;0.4615384615384616;0.05063291139240506;0.5229126095423564
