Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.90683531987351;0.8076923076923077;0.05263157894736842;0.5256422980943739
PUCC;0.9589041095890408;0.8723404255319149;0.1443661971830986;0.5716636180720687
PUCP;0.9179019384264538;0.8;0.0784313725490196;0.5382787718460276
TecMonterrey;0.9614942528735632;0.9111111111111112;0.0640625;0.5318980942077229
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.951787072243346;0.8636363636363636;0.05705705705705705;0.5282882209348085
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.8148148148148148;0.8571428571428571;0.3;0.6418032786885246
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9626385267275098;0.946808510638298;0.04640250260688217;0.5231482515154402
Udelar;0.9587852494577006;0.8333333333333334;0.0364963503649635;0.5180863628847471
Unicamp;0.9432147845707533;0.9830508474576272;0.05206463195691203;0.5260037445498845
Universidad Nacional de la Asuncion;0.8496042216358839;0.9090909090909092;0.08130081300813008;0.5398630049292619
Universidad Torcuato Di Tella;0.9473684210526316;0.0;0.0;0.5
Universidad de Antioquia;0.8244111349036403;0.7142857142857143;0.05882352941176471;0.5267939636587621
Universidad de Chile;0.9865513785211004;0.8333333333333334;0.1296111665004985;0.5646081468855083
Universidad de Los Andes;0.9301365512861226;0.8148148148148148;0.09282700421940927;0.5455549856261881
