Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9267818049136464;0.9016393442622952;0.2756892230576441;0.6362282322184774
PUCC;0.9618748968476646;0.8271604938271605;0.2359154929577465;0.6167456252667521
PUCP;0.9270239452679591;0.9032258064516128;0.1830065359477124;0.590566353545374
TecMonterrey;0.966219667943806;0.9111111111111112;0.1921875;0.5956942826231689
UCNSA;0.9130434782608696;1.0;0.8;0.9
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9545247148288972;0.8695652173913043;0.12012012012012012;0.5595794448726201
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.6930693069306929;0.5;0.03225806451612903;0.5089861751152074
USB;0.8148148148148148;0.6923076923076923;0.45;0.6922131147540984
USFQ;0.8241758241758241;1.0;0.2;0.6
USP;0.9656127770534549;0.96;0.1251303441084463;0.5624591724782215
Udelar;0.9648280136349552;0.912280701754386;0.1897810218978102;0.5944859802045686
Unicamp;0.9485870849897926;0.98159509202454;0.1436265709156194;0.5717275711720954
Universidad Nacional de la Asuncion;0.8588390501319261;0.9444444444444444;0.13821138211382114;0.5683182894821074
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8501070663811563;0.8260869565217391;0.2235294117647059;0.6065291037881121
Universidad de Chile;0.9874190315197392;0.7934782608695652;0.21834496510468596;0.6087396412911802
Universidad de Los Andes;0.9383931406795808;0.9056603773584906;0.20253164556962025;0.6004073063012936
