Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.929700802724398;0.9166666666666666;0.3032581453634085;0.6501473916472215
PUCC;0.9627001155306156;0.8815789473684209;0.2359154929577465;0.6171785256996525
PUCP;0.9247434435575826;0.8181818181818182;0.17647058823529413;0.5863614652606827
TecMonterrey;0.9663473818646232;0.924812030075188;0.1921875;0.5957608605193074
UCNSA;0.5652173913043478;0.0;0.0;0.5
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9578707224334599;0.85;0.2042042042042042;0.6011408717272223
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7530864197530864;0.0;0.0;0.5
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9608865710560626;0.3333333333333333;0.0010427528675703858;0.5004789766033846
Udelar;0.9573907654167958;0.3333333333333333;0.0036496350364963507;0.5016630052205134
Unicamp;0.9401525733319008;0.0;0.0;0.5
Universidad Nacional de la Asuncion;0.8390501319261213;0.6666666666666666;0.016260162601626018;0.5073426797260099
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.8158458244111351;0.0;0.0;0.4986910994764398
Universidad de Chile;0.984920789265038;0.4603174603174603;0.028913260219341975;0.5141984440942406
Universidad de Los Andes;0.9244204509368054;0.42857142857142855;0.012658227848101266;0.5056423007372375
