Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.913646314765264;0.6208791208791209;0.2832080200501253;0.6323098289905799
PUCC;0.9483413104472684;0.2769230769230769;0.06338028169014084;0.5276208767758064
PUCP;0.9156214367160777;0.5225225225225225;0.3790849673202614;0.6729903287569452
TecMonterrey;0.9666666666666668;0.625;0.4609375;0.7245766061917444
UCNSA;0.5652173913043478;0.5;0.7;0.5807692307692307
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9501140684410646;0.5112107623318386;0.34234234234234234;0.6624399952660126
UPB;0.4615384615384616;0.3333333333333333;0.16666666666666666;0.4404761904761905
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.6790123456790124;0.0;0.0;0.4508196721311475
USFQ;0.7142857142857143;0.3125;0.25;0.5475352112676056
USP;0.9659998370273792;0.8761329305135952;0.15119916579770595;0.575164984637246
Udelar;0.9558413387046792;0.4753363228699552;0.3868613138686132;0.6839646375168309
Unicamp;0.9431073385623724;0.8571428571428571;0.059245960502693;0.5293086945370608
Universidad Nacional de la Asuncion;0.8601583113456465;0.580952380952381;0.4959349593495935;0.7133218103834581
Universidad Torcuato Di Tella;0.8947368421052632;0.0;0.0;0.4722222222222222
Universidad de Antioquia;0.8008565310492506;0.4375;0.32941176470588235;0.6175854635047736
Universidad de Chile;0.9846515176447708;0.4730679156908666;0.20139581256231304;0.598989322355514
Universidad de Los Andes;0.9291838678945696;0.5573770491803278;0.2869198312236287;0.6341879375898363
