Source;Target;Weight
Santos, V.;Sappa, A.D.;4
Santos, V.;Oliveira, M.;4
Santos, V.;de la Escalera, A.;1
Sappa, A.D.;Oliveira, M.;5
Sappa, A.D.;de la Escalera, A.;1
Oliveira, M.;de la Escalera, A.;1
Ponguillo, R.A.;Padilla, V.S.;3
Ponguillo, R.A.;Ordoñez, D.M.;1
Padilla, V.S.;Ordoñez, D.M.;1
Ortiz-Rojas, M.;Chiluiza, K.;3
Ortiz-Rojas, M.;Valcke, M.;3
Chiluiza, K.;Valcke, M.;3
Cobos, R.;Hernandez, J.;1
Cobos, R.;Abad, A.G.;1
Hernandez, J.;Abad, A.G.;3
Andrade, X.;Cedeno, J.;1
Andrade, X.;Boza, E.;1
Andrade, X.;Abad, C.;1
Andrade, X.;Murillo, J.;1
Cedeno, J.;Boza, E.;1
Cedeno, J.;Abad, C.;1
Cedeno, J.;Murillo, J.;1
Boza, E.;Abad, C.;2
Boza, E.;Murillo, J.;1
Abad, C.;Murillo, J.;1
Torres, J.;Vaca, C.;7
Aragon, H.;Braganza, S.;1
Aragon, H.;Boza, E.F.;1
Aragon, H.;Parrales, J.;1
Aragon, H.;Abad, C.L.;1
Braganza, S.;Boza, E.F.;1
Braganza, S.;Parrales, J.;1
Braganza, S.;Abad, C.L.;1
Boza, E.F.;Parrales, J.;1
Boza, E.F.;Abad, C.L.;6
Parrales, J.;Abad, C.L.;1
Collaguazo Jaramillo, A.;Alcivar, R.;1
Collaguazo Jaramillo, A.;Pesantez, J.;1
Collaguazo Jaramillo, A.;Ponguillo, R.;1
Alcivar, R.;Pesantez, J.;1
Alcivar, R.;Ponguillo, R.;1
Pesantez, J.;Ponguillo, R.;1
Echeverria, V.;Martinez-Maldonado, R.;7
Echeverria, V.;Shum, S.B.;4
Martinez-Maldonado, R.;Shum, S.B.;4
Wong-Villacres, M.;Kumar, N.;3
Wong-Villacres, M.;DiSalvo, B.;2
Kumar, N.;DiSalvo, B.;2
Vishwanath, A.;Karusala, N.;1
Vishwanath, A.;Wong-Villacres, M.;2
Vishwanath, A.;Kumar, N.;2
Karusala, N.;Wong-Villacres, M.;1
Karusala, N.;Kumar, N.;1
Aumala, G.;Boza, E.;1
Aumala, G.;Ortiz-Aviles, L.;1
Aumala, G.;Totoy, G.;1
Aumala, G.;Abad, C.;1
Boza, E.;Ortiz-Aviles, L.;1
Boza, E.;Totoy, G.;1
Ortiz-Aviles, L.;Totoy, G.;1
Ortiz-Aviles, L.;Abad, C.;1
Totoy, G.;Abad, C.;1
Do, T.H.;Minh Nguyen, D.;1
Do, T.H.;Tsiligianni, E.;1
Do, T.H.;Philips, W.;1
Do, T.H.;Deligiannis, N.;1
Minh Nguyen, D.;Tsiligianni, E.;1
Minh Nguyen, D.;Philips, W.;1
Minh Nguyen, D.;Deligiannis, N.;1
Tsiligianni, E.;Philips, W.;1
Tsiligianni, E.;Deligiannis, N.;1
Philips, W.;Deligiannis, N.;1
Talluri, S.;Abad, C.L.;1
Talluri, S.;Łuszczak, A.;1
Talluri, S.;Iosup, A.;1
Abad, C.L.;Łuszczak, A.;1
Abad, C.L.;Iosup, A.;2
Łuszczak, A.;Iosup, A.;1
Bezemer, C.-P.;Eismann, S.;1
Bezemer, C.-P.;Ferme, V.;1
Bezemer, C.-P.;Walter, J.;1
Bezemer, C.-P.;Willnecker, F.;1
Eismann, S.;Ferme, V.;1
