Id,Label,timeset,componentnumber
"Alvarez, J.","Alvarez, J.",,0
"Zapata, M.","Zapata, M.",,0
"Paillacho, D.","Paillacho, D.",,0
"Tello, J.A.","Tello, J.A.",,0
"Santos, V.","Santos, V.",,1
"Sappa, A.D.","Sappa, A.D.",,1
"Oliveira, M.","Oliveira, M.",,1
"de la Escalera, A.","de la Escalera, A.",,1
"Rocha, E.M.","Rocha, E.M.",,2
"Barra Junior, W.","Barra Junior, W.",,2
"Barra, H.M.","Barra, H.M.",,2
"Lucas Marcillo, K.E.","Lucas Marcillo, K.E.",,2
"Nogueira, F.G.","Nogueira, F.G.",,2
"Ponguillo, R.A.","Ponguillo, R.A.",,1
"Padilla, V.S.","Padilla, V.S.",,1
"Ordoñez, D.M.","Ordoñez, D.M.",,1
"Ortiz-Rojas, M.","Ortiz-Rojas, M.",,1
"Chiluiza, K.","Chiluiza, K.",,1
"Valcke, M.","Valcke, M.",,1
"Tibau, J.","Tibau, J.",,3
"Stewart, M.","Stewart, M.",,3
"Harrison, S.","Harrison, S.",,3
"Tatar, D.","Tatar, D.",,3
"Gautam, A.","Gautam, A.",,3
"Shrestha, C.","Shrestha, C.",,3
"Carneiro, G.","Carneiro, G.",,4
"Nacenta, M.A.","Nacenta, M.A.",,4
"Toniolo, A.","Toniolo, A.",,4
"Méndez, G.G.","Méndez, G.G.",,4
"Quigley, A.J.","Quigley, A.J.",,4
"Cobos, R.","Cobos, R.",,1
"Hernandez, J.","Hernandez, J.",,1
"Abad, A.G.","Abad, A.G.",,1
"Haz, L.","Haz, L.",,5
"Carrera, I.","Carrera, I.",,5
"Molina, M.F.","Molina, M.F.",,5
"Bernal, G.V.S.","Bernal, G.V.S.",,5
"Andrade, X.","Andrade, X.",,1
"Cedeno, J.","Cedeno, J.",,1
"Boza, E.","Boza, E.",,1
"Abad, C.","Abad, C.",,1
"Murillo, J.","Murillo, J.",,1
"Soatti, G.","Soatti, G.",,6
"Savazzi, S.","Savazzi, S.",,6
"Nicoli, M.","Nicoli, M.",,6
"Rampa, V.","Rampa, V.",,6
"Spagnolini, U.","Spagnolini, U.",,6
"Cevallos-Valdiviezo, H.","Cevallos-Valdiviezo, H.",,7
"Van Aelst, S.","Van Aelst, S.",,7
"Torres, J.","Torres, J.",,1
"Vaca, C.","Vaca, C.",,1
"Aragon, H.","Aragon, H.",,1
"Braganza, S.","Braganza, S.",,1
"Boza, E.F.","Boza, E.F.",,1
"Parrales, J.","Parrales, J.",,1
"Abad, C.L.","Abad, C.L.",,1
"Collaguazo Jaramillo, A.","Collaguazo Jaramillo, A.",,1
