Source;Target;Weight;year
Ortega, A.P.;Merrett, G.V.;1;2018
Ortega, A.P.;Ramchurn, S.D.;1;2018
Merrett, G.V.;Ramchurn, S.D.;1;2018
Ferrin, A.;Larrea, J.;1;2018
Ferrin, A.;Realpe, M.;1;2018
Ferrin, A.;Ochoa, D.;1;2018
Larrea, J.;Realpe, M.;1;2018
Larrea, J.;Ochoa, D.;1;2018
Realpe, M.;Ochoa, D.;1;2018
Campana, F.;Dominguez, F.;2;2018
Cevallos, H.;Intriago, G.;1;2018
Cevallos, H.;Plaza, D.;1;2018
Intriago, G.;Plaza, D.;1;2018
Mendieta, M.;Panchana, F.;1;2018
Mendieta, M.;Andrade, B.;1;2018
Mendieta, M.;Vintimilla, B.;1;2018
Mendieta, M.;Romero, D.;2;2018
Panchana, F.;Andrade, B.;1;2018
Panchana, F.;Vintimilla, B.;1;2018
Panchana, F.;Romero, D.;1;2018
Andrade, B.;Vintimilla, B.;1;2018
Andrade, B.;Romero, D.;1;2018
Vintimilla, B.;Romero, D.;1;2018
Martinez, C.;Eras, L.;1;2018
Martinez, C.;Dominguez, F.;1;2018
Eras, L.;Dominguez, F.;1;2018
Alcivar-Molina, E.;Hurel, J.;1;2018
Alcivar-Molina, E.;Teran, E.;1;2018
Alcivar-Molina, E.;Ponguillo, R.;1;2018
Alcivar-Molina, E.;Loayza, F.R.;1;2018
Hurel, J.;Teran, E.;1;2018
Hurel, J.;Ponguillo, R.;1;2018
Hurel, J.;Loayza, F.R.;1;2018
Teran, E.;Ponguillo, R.;1;2018
Teran, E.;Loayza, F.R.;1;2018
Ponguillo, R.;Loayza, F.R.;1;2018
Diaz, N.;Guerra, J.;1;2018
Diaz, N.;Nicola, J.;1;2018
Guerra, J.;Nicola, J.;1;2018
Loayza, F.R.;Sola-Mora, J.;1;2018
Loayza, F.R.;Castro-Valladares, L.;1;2018
Loayza, F.R.;Nunez-Idrovo, L.;1;2018
Loayza, F.R.;Mora, H.;1;2018
Sola-Mora, J.;Castro-Valladares, L.;1;2018
Sola-Mora, J.;Nunez-Idrovo, L.;1;2018
Sola-Mora, J.;Mora, H.;1;2018
Castro-Valladares, L.;Nunez-Idrovo, L.;1;2018
Castro-Valladares, L.;Mora, H.;1;2018
Nunez-Idrovo, L.;Mora, H.;1;2018
Vaca-Urbano, F.;Alvarez-Alvarado, M.S.;3;2017
Vaca-Urbano, F.;Cordova-Villagomez, J.;1;2018
Vaca-Urbano, F.;Recalde, A.;2;2018
Vaca-Urbano, F.;Blazquez, F.;1;2018
Alvarez-Alvarado, M.S.;Cordova-Villagomez, J.;1;2018
Alvarez-Alvarado, M.S.;Recalde, A.;2;2018
Alvarez-Alvarado, M.S.;Blazquez, F.;1;2018
Cordova-Villagomez, J.;Recalde, A.;1;2018
Cordova-Villagomez, J.;Blazquez, F.;1;2018
Recalde, A.;Blazquez, F.;1;2018
Recalde, A.;Endara, I.;2;2018
Recalde, A.;Torres, J.;1;2018
Endara, I.;Torres, J.;1;2018
Endara, I.;Alvarez-Alvarado, M.S.;1;2018
Endara, I.;Vaca-Urbano, F.;1;2018
Torres, J.;Alvarez-Alvarado, M.S.;1;2018
Torres, J.;Vaca-Urbano, F.;1;2018
Cipriano, D.;Rengifo, J.;1;2018
Cipriano, D.;Aller, J.M.;1;2018
Rengifo, J.;Aller, J.M.;2;2018
Hidalgo-Leon, R.;Urquizo, J.;2;2018
Hidalgo-Leon, R.;Macias, J.;1;2018
Hidalgo-Leon, R.;Wu, J.;2;2018
Hidalgo-Leon, R.;Soriano, G.;2;2018
Urquizo, J.;Macias, J.;1;2018
Urquizo, J.;Wu, J.;1;2018
Urquizo, J.;Soriano, G.;3;2017
Macias, J.;Wu, J.;1;2018
Macias, J.;Soriano, G.;1;2018
Wu, J.;Soriano, G.;1;2018
Marcillo, K.E.L.;Guingla, D.A.P.;1;2018
Marcillo, K.E.L.;Rocha, E.M.;1;2018
Marcillo, K.E.L.;Benavides, D.A.V.;1;2018
Marcillo, K.E.L.;De Medeiros, R.L.P.;1;2018
Guingla, D.A.P.;Rocha, E.M.;1;2018
Guingla, D.A.P.;Benavides, D.A.V.;1;2018
Guingla, D.A.P.;De Medeiros, R.L.P.;1;2018
Rocha, E.M.;Benavides, D.A.V.;1;2018
Rocha, E.M.;De Medeiros, R.L.P.;1;2018
