Source,Target,Type,Id,Label,timeset,Weight,year
"Ferrin, A.","Larrea, J.",Undirected,3,,,1,2018
"Ferrin, A.","Realpe, M.",Undirected,4,,,1,2018
"Ferrin, A.","Ochoa, D.",Undirected,5,,,1,2018
"Larrea, J.","Realpe, M.",Undirected,6,,,1,2018
"Larrea, J.","Ochoa, D.",Undirected,7,,,1,2018
"Realpe, M.","Ochoa, D.",Undirected,8,,,1,2018
"Campana, F.","Dominguez, F.",Undirected,9,,,2,2018
"Mendieta, M.","Panchana, F.",Undirected,13,,,1,2018
"Mendieta, M.","Andrade, B.",Undirected,14,,,1,2018
"Mendieta, M.","Vintimilla, B.",Undirected,15,,,1,2018
"Mendieta, M.","Romero, D.",Undirected,16,,,2,2018
"Panchana, F.","Andrade, B.",Undirected,17,,,1,2018
"Panchana, F.","Vintimilla, B.",Undirected,18,,,1,2018
"Panchana, F.","Romero, D.",Undirected,19,,,1,2018
"Andrade, B.","Vintimilla, B.",Undirected,20,,,1,2018
"Andrade, B.","Romero, D.",Undirected,21,,,1,2018
"Vintimilla, B.","Romero, D.",Undirected,22,,,1,2018
"Martinez, C.","Eras, L.",Undirected,23,,,1,2018
"Martinez, C.","Dominguez, F.",Undirected,24,,,1,2018
"Eras, L.","Dominguez, F.",Undirected,25,,,1,2018
"Alcivar-Molina, E.","Hurel, J.",Undirected,26,,,1,2018
"Alcivar-Molina, E.","Teran, E.",Undirected,27,,,1,2018
"Alcivar-Molina, E.","Ponguillo, R.",Undirected,28,,,1,2018
"Alcivar-Molina, E.","Loayza, F.R.",Undirected,29,,,1,2018
"Hurel, J.","Teran, E.",Undirected,30,,,1,2018
"Hurel, J.","Ponguillo, R.",Undirected,31,,,1,2018
"Hurel, J.","Loayza, F.R.",Undirected,32,,,1,2018
"Teran, E.","Ponguillo, R.",Undirected,33,,,1,2018
"Teran, E.","Loayza, F.R.",Undirected,34,,,1,2018
"Ponguillo, R.","Loayza, F.R.",Undirected,35,,,1,2018
"Loayza, F.R.","Sola-Mora, J.",Undirected,39,,,1,2018
"Loayza, F.R.","Castro-Valladares, L.",Undirected,40,,,1,2018
"Loayza, F.R.","Nunez-Idrovo, L.",Undirected,41,,,1,2018
"Loayza, F.R.","Mora, H.",Undirected,42,,,1,2018
"Sola-Mora, J.","Castro-Valladares, L.",Undirected,43,,,1,2018
"Sola-Mora, J.","Nunez-Idrovo, L.",Undirected,44,,,1,2018
"Sola-Mora, J.","Mora, H.",Undirected,45,,,1,2018
"Castro-Valladares, L.","Nunez-Idrovo, L.",Undirected,46,,,1,2018
"Castro-Valladares, L.","Mora, H.",Undirected,47,,,1,2018
"Nunez-Idrovo, L.","Mora, H.",Undirected,48,,,1,2018
"Vaca-Urbano, F.","Alvarez-Alvarado, M.S.",Undirected,49,,,3,2017
"Vaca-Urbano, F.","Cordova-Villagomez, J.",Undirected,50,,,1,2018
"Vaca-Urbano, F.","Recalde, A.",Undirected,51,,,2,2018
"Vaca-Urbano, F.","Blazquez, F.",Undirected,52,,,1,2018
"Alvarez-Alvarado, M.S.","Cordova-Villagomez, J.",Undirected,53,,,1,2018
"Alvarez-Alvarado, M.S.","Recalde, A.",Undirected,54,,,2,2018
