Source;Target;Type;Weight;year
Santos, V.;Sappa, A.D.;Undirected;4;2016
Santos, V.;Oliveira, M.;Undirected;4;2016
Santos, V.;de la Escalera, A.;Undirected;1;2019
Sappa, A.D.;Oliveira, M.;Undirected;5;2015
Sappa, A.D.;de la Escalera, A.;Undirected;1;2019
Oliveira, M.;de la Escalera, A.;Undirected;1;2019
Ponguillo, R.A.;Padilla, V.S.;Undirected;3;2016
Ponguillo, R.A.;Ordoñez, D.M.;Undirected;1;2019
Padilla, V.S.;Ordoñez, D.M.;Undirected;1;2019
Ortiz-Rojas, M.;Chiluiza, K.;Undirected;3;2017
Ortiz-Rojas, M.;Valcke, M.;Undirected;3;2017
Chiluiza, K.;Valcke, M.;Undirected;3;2017
Cobos, R.;Hernandez, J.;Undirected;1;2019
Cobos, R.;Abad, A.G.;Undirected;1;2019
Hernandez, J.;Abad, A.G.;Undirected;3;2018
Andrade, X.;Cedeno, J.;Undirected;1;2019
Andrade, X.;Boza, E.;Undirected;1;2019
Andrade, X.;Abad, C.;Undirected;1;2019
Andrade, X.;Murillo, J.;Undirected;1;2019
Cedeno, J.;Boza, E.;Undirected;1;2019
Cedeno, J.;Abad, C.;Undirected;1;2019
Cedeno, J.;Murillo, J.;Undirected;1;2019
Boza, E.;Abad, C.;Undirected;2;2019
Boza, E.;Murillo, J.;Undirected;1;2019
Abad, C.;Murillo, J.;Undirected;1;2019
Torres, J.;Vaca, C.;Undirected;7;2016
Aragon, H.;Braganza, S.;Undirected;1;2019
Aragon, H.;Boza, E.F.;Undirected;1;2019
Aragon, H.;Parrales, J.;Undirected;1;2019
Aragon, H.;Abad, C.L.;Undirected;1;2019
Braganza, S.;Boza, E.F.;Undirected;1;2019
Braganza, S.;Parrales, J.;Undirected;1;2019
Braganza, S.;Abad, C.L.;Undirected;1;2019
Boza, E.F.;Parrales, J.;Undirected;1;2019
Boza, E.F.;Abad, C.L.;Undirected;6;2017
Parrales, J.;Abad, C.L.;Undirected;1;2019
Collaguazo Jaramillo, A.;Alcivar, R.;Undirected;1;2019
Collaguazo Jaramillo, A.;Pesantez, J.;Undirected;1;2019
Collaguazo Jaramillo, A.;Ponguillo, R.;Undirected;1;2019
Alcivar, R.;Pesantez, J.;Undirected;1;2019
Alcivar, R.;Ponguillo, R.;Undirected;1;2019
Pesantez, J.;Ponguillo, R.;Undirected;1;2019
Echeverria, V.;Martinez-Maldonado, R.;Undirected;7;2017
Echeverria, V.;Shum, S.B.;Undirected;4;2017
Martinez-Maldonado, R.;Shum, S.B.;Undirected;4;2017
