ID;Label
Martinez Vera, C.R.;Martinez Vera, C.R.
Tzanetakis, I.E.;Tzanetakis, I.E.
Cao, X.E.;Cao, X.E.
Steendam, H.;Steendam, H.
Moreira, V.;Moreira, V.
Genta-Jouve, G.;Genta-Jouve, G.
Hernández Hernández, J.E.;Hernández Hernández, J.E.
Catagua-González, A.;Catagua-González, A.
Macy, M.W.;Macy, M.W.
Montiel, M.;Montiel, M.
Carral Couce, L.M.;Carral Couce, L.M.
Monsalve, C.;Monsalve, C.
Torres, J.P.;Torres, J.P.
Mandow, A.;Mandow, A.
Aguilera-Carrasco, C.A.;Aguilera-Carrasco, C.A.
Espinoza-Andaluz, M.;Espinoza-Andaluz, M.
Rivadeneira, R.E.;Rivadeneira, R.E.
Lippi, C.A.;Lippi, C.A.
Yánez-Pazmiño, W.;Yánez-Pazmiño, W.
Marin, I.;Marin, I.
Luzadis, V.A.;Luzadis, V.A.
Liao, M.;Liao, M.
Ryan, S.J.;Ryan, S.J.
Cobos, R.;Cobos, R.
Rohoden, K.;Rohoden, K.
Cordova Estrella, R.;Cordova Estrella, R.
Saraguro-Bravo, R.;Saraguro-Bravo, R.
Gallego, D.C.;Gallego, D.C.
Zambrano, O.;Zambrano, O.
Martínez-Gavara, A.;Martínez-Gavara, A.
Boets, P.;Boets, P.
Suarez, C.;Suarez, C.
Ahmed, S.;Ahmed, S.
Saraiva, E.;Saraiva, E.
Nacenta, M.A.;Nacenta, M.A.
Tatar, D.;Tatar, D.
Floreano, B.;Floreano, B.
Marjorie, C.T.;Marjorie, C.T.
Nieto-Librero, A.B.;Nieto-Librero, A.B.
Terán, L.;Terán, L.
Herrera, E.V.;Herrera, E.V.
Coronel, M.A.;Coronel, M.A.
Guingla, D.A.P.;Guingla, D.A.P.
Bedoya-Pilozo, C.H.;Bedoya-Pilozo, C.H.
Marcorin De Oliveira, A.;Marcorin De Oliveira, A.
Duval, E.;Duval, E.
Worsley, M.;Worsley, M.
Guaman, B.;Guaman, B.
Zurita, J.;Zurita, J.
Velasquez Vargas, W.A.;Velasquez Vargas, W.A.
Medina, W.;Medina, W.
Tibau, J.;Tibau, J.
Solorzano Alcivar, N.I.;Solorzano Alcivar, N.I.
Sandoya, F.;Sandoya, F.
Ramirez, A.D.;Ramirez, A.D.
Mora-Pinargote, C.;Mora-Pinargote, C.
Merrett, G.V.;Merrett, G.V.
Chalén, B.E.;Chalén, B.E.
Constantine, A.;Constantine, A.
Jordán, C.J.;Jordán, C.J.
Gobeyn, S.;Gobeyn, S.
Guale, A.;Guale, A.
Avila, N.J.P.;Avila, N.J.P.
Borbor-Cordova, M.J.;Borbor-Cordova, M.J.
Cornejo, M.;Cornejo, M.
Ricaurte, P.;Ricaurte, P.
Evans, H.I.;Evans, H.I.
Hamann, M.;Hamann, M.
Arcentales, D.;Arcentales, D.
Ochoa, K.;Ochoa, K.
Zambrano, D.;Zambrano, D.
Vasquez, M.;Vasquez, M.
Barra Junior, W.;Barra Junior, W.
Orellana Fantoni, C.;Orellana Fantoni, C.
Arancibia, C.S.;Arancibia, C.S.
De Laet, T.;De Laet, T.
Alomari, A.;Alomari, A.
Kondrath, N.;Kondrath, N.
Silvoni, S.;Silvoni, S.
Paredes, C.;Paredes, C.
Quimba, S.;Quimba, S.
Moyón, A.;Moyón, A.
Pazmiño, A.;Pazmiño, A.
Macarini, L.A.;Macarini, L.A.
San Lucas, C.;San Lucas, C.
Wong-Villacrés, M.;Wong-Villacrés, M.
Endara, I.;Endara, I.
López-Herrera, A.G.;López-Herrera, A.G.
Del Pino Espinoza, A.D.;Del Pino Espinoza, A.D.
Valencia, A.J.;Valencia, A.J.
Echeverria, V.;Echeverria, V.
Cipriano, D.;Cipriano, D.
Grohmann, J.;Grohmann, J.
Kumar, A.;Kumar, A.
González García, N.;González García, N.
González-Menéndez, L.;González-Menéndez, L.
Marcos, X.E.;Marcos, X.E.
Wong-Villacres, M.;Wong-Villacres, M.
Valencia, G.;Valencia, G.
Chothia, T.;Chothia, T.
Muñoz-Jadan, Y.;Muñoz-Jadan, Y.
Calero-Bravo, V.;Calero-Bravo, V.
Herrera Muentes, E.V.;Herrera Muentes, E.V.
Cordero, R.;Cordero, R.
Carrillo, W.;Carrillo, W.
Loayza, F.R.;Loayza, F.R.
Labbe, F.;Labbe, F.
Aguilera, C.A.;Aguilera, C.A.
Voigt, A.;Voigt, A.
Dik, D.;Dik, D.
Vaziri, V.;Vaziri, V.
Oyola, A.;Oyola, A.
Masjuan, M.E.G.;Masjuan, M.E.G.
Gaibor, J.;Gaibor, J.
Wildgruber, M.;Wildgruber, M.
Deng, X.;Deng, X.
Quercia, D.;Quercia, D.
Lascano, S.;Lascano, S.
Teran, E.;Teran, E.
Cervantes, D.;Cervantes, D.
Wu, J.;Wu, J.
Brito, E.G.M.;Brito, E.G.M.
Granda, R.;Granda, R.
Gaspar, J.;Gaspar, J.
Waggoner, E.;Waggoner, E.
Santos-Baquerizo, E.;Santos-Baquerizo, E.
Calderon, C.;Calderon, C.
Molinaro, M.;Molinaro, M.
Vargas, G.R.;Vargas, G.R.
Rendon, H.H.;Rendon, H.H.
Rayas, J.A.;Rayas, J.A.
Hayes, C.;Hayes, C.
Quelal, R.E.;Quelal, R.E.
Recalde-Coronel, G.;Recalde-Coronel, G.
Carrillo, G.;Carrillo, G.
Gautam, A.;Gautam, A.
Do, T.H.;Do, T.H.
Lowe, R.;Lowe, R.
Erickson, D.;Erickson, D.
Helguero, J.;Helguero, J.
Esparragoza, I.E.;Esparragoza, I.E.
Ricaurte, D.M.T.;Ricaurte, D.M.T.
León, M.;León, M.
Chicaiza, J.L.;Chicaiza, J.L.
Chávez, T.;Chávez, T.
Caicedo, G.;Caicedo, G.
Neto, A.F.;Neto, A.F.
Chaerle, L.;Chaerle, L.
Quiñonez, Y.;Quiñonez, Y.
Jungmann, D.;Jungmann, D.
Millan, M.E.;Millan, M.E.
Capel, M.I.;Capel, M.I.
Lóczi, L.;Lóczi, L.
García, J.;García, J.
González-Islas, C.;González-Islas, C.
Castro, L.M.;Castro, L.M.
Salazar, C.;Salazar, C.
